Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,100,India,5412,Yield,1341,Apples,2010,2010,kg/ha,6282.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1341,Apples,2011,2011,kg/ha,10000,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1341,Apples,2012,2012,kg/ha,6845,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1341,Apples,2013,2013,kg/ha,6137.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1341,Apples,2014,2014,kg/ha,7978.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1341,Apples,2015,2015,kg/ha,6689.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1341,Apples,2016,2016,kg/ha,9101.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1341,Apples,2017,2017,kg/ha,7426.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1341,Apples,2018,2018,kg/ha,7730.9,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1341,Apples,2019,2019,kg/ha,7519.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1341,Apples,2020,2020,kg/ha,9077.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1341,Apples,2021,2021,kg/ha,7271.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1341,Apples,2022,2022,kg/ha,8219,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1341,Apples,2023,2023,kg/ha,9460.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1341,Apples,2024,2024,kg/ha,8634.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1312,Bananas,2010,2010,kg/ha,35879.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1312,Bananas,2011,2011,kg/ha,35725.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1312,Bananas,2012,2012,kg/ha,34161.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1312,Bananas,2013,2013,kg/ha,34642,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1312,Bananas,2014,2014,kg/ha,37036.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1312,Bananas,2015,2015,kg/ha,35548.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1312,Bananas,2016,2016,kg/ha,34643.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1312,Bananas,2017,2017,kg/ha,35438.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1312,Bananas,2018,2018,kg/ha,34850.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1312,Bananas,2019,2019,kg/ha,35173.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1312,Bananas,2020,2020,kg/ha,36340,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1312,Bananas,2021,2021,kg/ha,35781.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1312,Bananas,2022,2022,kg/ha,35854.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1312,Bananas,2023,2023,kg/ha,36835,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1312,Bananas,2024,2024,kg/ha,39658,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1251,Carrots and turnips,2010,2010,kg/ha,16746.8,E,Estimated value,
QCL,Crops and livestock products,100,India,5412,Yield,1251,Carrots and turnips,2011,2011,kg/ha,17017.9,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1251,Carrots and turnips,2012,2012,kg/ha,18596.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1251,Carrots and turnips,2013,2013,kg/ha,17890.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1251,Carrots and turnips,2014,2014,kg/ha,17322.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1251,Carrots and turnips,2015,2015,kg/ha,15125,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1251,Carrots and turnips,2016,2016,kg/ha,16262.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1251,Carrots and turnips,2017,2017,kg/ha,15650.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1251,Carrots and turnips,2018,2018,kg/ha,17078.9,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1251,Carrots and turnips,2019,2019,kg/ha,17297.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1251,Carrots and turnips,2020,2020,kg/ha,17414.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1251,Carrots and turnips,2021,2021,kg/ha,17386.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1251,Carrots and turnips,2022,2022,kg/ha,17101.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1251,Carrots and turnips,2023,2023,kg/ha,19557.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1251,Carrots and turnips,2024,2024,kg/ha,22208.9,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1703,"Chick peas, dry",2010,2010,kg/ha,915.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1703,"Chick peas, dry",2011,2011,kg/ha,894.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1703,"Chick peas, dry",2012,2012,kg/ha,925.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1703,"Chick peas, dry",2013,2013,kg/ha,1036.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1703,"Chick peas, dry",2014,2014,kg/ha,960,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1703,"Chick peas, dry",2015,2015,kg/ha,888.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1703,"Chick peas, dry",2016,2016,kg/ha,840.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1703,"Chick peas, dry",2017,2017,kg/ha,974.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1703,"Chick peas, dry",2018,2018,kg/ha,1077.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1703,"Chick peas, dry",2019,2019,kg/ha,1041,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1703,"Chick peas, dry",2020,2020,kg/ha,1142.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1703,"Chick peas, dry",2021,2021,kg/ha,1191.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1703,"Chick peas, dry",2022,2022,kg/ha,1261,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1703,"Chick peas, dry",2023,2023,kg/ha,1171.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1703,"Chick peas, dry",2024,2024,kg/ha,1151.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2010,2010,kg/ha,1544.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2011,2011,kg/ha,1585.9,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2012,2012,kg/ha,1643.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2013,2013,kg/ha,1925.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2014,2014,kg/ha,1925.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2015,2015,kg/ha,2109.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2016,2016,kg/ha,1874.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2017,2017,kg/ha,2495.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2018,2018,kg/ha,2857.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2019,2019,kg/ha,2234.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2020,2020,kg/ha,2931.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2021,2021,kg/ha,2918.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2022,2022,kg/ha,2764,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2023,2023,kg/ha,3265.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2024,2024,kg/ha,3013.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1460,"Coconuts, in shell",2010,2010,kg/ha,5717.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1460,"Coconuts, in shell",2011,2011,kg/ha,4964.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1460,"Coconuts, in shell",2012,2012,kg/ha,4941.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1460,"Coconuts, in shell",2013,2013,kg/ha,5574.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1460,"Coconuts, in shell",2014,2014,kg/ha,5607.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1460,"Coconuts, in shell",2015,2015,kg/ha,5367.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1460,"Coconuts, in shell",2016,2016,kg/ha,5448.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1460,"Coconuts, in shell",2017,2017,kg/ha,5366.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1460,"Coconuts, in shell",2018,2018,kg/ha,7826.9,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1460,"Coconuts, in shell",2019,2019,kg/ha,6825.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1460,"Coconuts, in shell",2020,2020,kg/ha,6445.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1460,"Coconuts, in shell",2021,2021,kg/ha,6503.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1460,"Coconuts, in shell",2022,2022,kg/ha,6182.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1460,"Coconuts, in shell",2023,2023,kg/ha,6220,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1460,"Coconuts, in shell",2024,2024,kg/ha,6792.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1610,"Coffee, green",2010,2010,kg/ha,814.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1610,"Coffee, green",2011,2011,kg/ha,837.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1610,"Coffee, green",2012,2012,kg/ha,851.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1610,"Coffee, green",2013,2013,kg/ha,845.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1610,"Coffee, green",2014,2014,kg/ha,798.6,A,Official figure,
