State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Alluri Sitharama Raju,Alluri Sitharama Raju,,2023-24,287,3890,3892,3932,1882,2269,2043,3438,2611,1658,3832,2505,18,243,7662,7750,237,7072,1031,5570,2539,3422,4667,7363,752,2669,5434,7032,1086
Anakapalli,Anakapalli,,2023-24,2126,2598,5226,7095,1868,1023,7356,1947,658,2255,2559,5140,678,90,9192,9063,897,9308,655,7841,2046,6993,2756,9411,537,9583,382,9014,841
ANANTAPUR,ANANTAPUR,,2023-24,5,320,10377,8507,2156,39,7131,3489,81,28,746,9927,555,1,10146,10544,158,10499,203,7682,3020,7109,3592,10662,31,8373,2328,10572,121
Annamayya,Annamayya,,2023-24,135,575,9900,5664,3028,1995,5001,5428,351,375,1163,8927,525,205,9523,9848,537,6181,4632,6159,4757,6571,4312,10278,581,4444,6427,9078,1827
Bapatla,Bapatla,,2023-24,22,1585,8875,182,2251,8015,7522,2705,255,221,1696,8565,137,89,10256,9073,1408,8416,2063,4079,6372,5025,5411,9870,590,7645,2836,7740,2702
CHITTOOR,CHITTOOR,,2023-24,36,3015,7462,5547,3141,1824,4716,4829,969,525,2813,7168,94,132,10267,10484,24,8326,2187,6777,3741,7880,2624,10038,401,9602,911,9041,1474
EAST GODAVARI,EAST GODAVARI,,2023-24,233,8764,2300,1666,8322,1307,6271,4876,150,2146,7893,1242,6,99,11175,11229,52,10038,1254,7477,3813,7440,3840,8855,2367,8587,2705,8892,2399
Eluru,Eluru,,2023-24,34,1456,8868,5816,2708,1812,6193,2889,1277,1748,2216,6370,30,215,10102,10015,343,7415,2917,8022,2334,6834,3523,10144,208,9025,1235,9146,1214
GUNTUR,GUNTUR,,2023-24,30,2643,7652,7451,1941,917,9041,837,447,4024,1875,4410,361,12,9949,9814,495,8741,1582,6806,3506,7619,2706,10205,109,10104,220,9229,1091
Kakinada,Kakinada,,2023-24,1671,2365,6728,4626,2686,3388,5244,3046,2439,3538,2777,4398,27,242,10450,9571,1150,7822,2906,8488,2076,7075,3273,9996,533,6525,4195,9719,886
Konaseema,Konaseema,,2023-24,3885,2397,4153,5640,2492,2304,7304,1668,1469,5642,2188,2590,11,126,10286,8163,2256,7635,2609,8498,1708,6960,3158,10024,204,7599,2636,9264,953
KRISHNA,KRISHNA,,2023-24,318,5818,4637,2316,3549,4908,7393,1650,1731,5625,2290,2856,288,22,10451,7499,3270,8945,1827,7119,2916,5012,4383,10609,86,10441,333,9420,1192
KURNOOL,KURNOOL,,2023-24,67,6253,4479,2130,7529,1143,8293,2378,132,485,3044,7255,1426,10,9335,10213,564,10714,90,3666,7144,6097,4703,10037,750,9049,1755,8279,2530
Nandyal,Nandyal,,2023-24,60,5819,4757,4615,5969,47,7089,3488,64,1751,4659,4223,1447,13,9162,10593,38,10594,47,6593,4053,5242,5397,10590,15,10627,15,10355,290
NTR,NTR,,2023-24,67,2033,8571,6324,2411,1935,7914,2051,706,2416,2327,5923,123,25,10521,10263,406,8251,2420,8891,1779,8393,2272,10616,53,8880,1790,10127,539
Palnadu,Palnadu,,2023-24,475,2960,7724,8273,2338,548,7280,2845,1034,562,969,9620,349,8,10799,10870,287,10797,364,9822,1339,8571,2583,10992,167,11034,127,10570,567
Parvathipuram Manyam,Parvathipuram Manyam,,2023-24,32,1167,9806,6432,3826,749,7998,2556,453,4329,2071,4598,26,416,10564,10712,295,10334,674,9947,769,8063,2774,10103,598,8838,1884,10563,153
PRAKASAM,PRAKASAM,,2023-24,25,364,9863,7095,2453,715,9622,538,104,6226,1667,2357,2444,16,7801,10234,27,10146,119,6272,3857,7794,2438,9856,374,7384,2882,9788,470
SPSR NELLORE,SPSR NELLORE,,2023-24,0,106,7727,2982,3088,1763,1400,3482,2951,1606,2076,4150,618,31,7183,6563,1268,7047,786,5896,1936,1665,6162,6232,1592,1968,5864,6793,1038
Sri Sathya Sai,Sri Sathya Sai,,2023-24,1,174,8764,6029,2531,379,3000,4321,1619,175,600,8119,428,18,8424,8708,176,8560,380,7047,1894,4216,4724,8077,849,4443,4494,8520,417
SRIKAKULAM,SRIKAKULAM,,2023-24,32,1090,9114,2409,4778,3042,7489,2449,296,6200,1926,2101,47,368,9811,9642,578,9623,602,6792,1492,6457,1817,8178,31,6390,2068,7980,287
Tirupati,Tirupati,,2023-24,9,2183,7251,5146,3108,1189,4751,3788,911,399,2460,6577,243,421,8759,9149,287,7784,1666,6421,3033,6738,2713,9039,403,8788,663,8051,1400
VISAKHAPATANAM,VISAKHAPATANAM,,2023-24,24,603,1521,1509,314,325,340,1225,583,61,573,1513,134,8,2005,2136,7,1676,468,1395,749,1208,940,2079,64,667,1478,1334,813
VIZIANAGARAM,VIZIANAGARAM,,2023-24,16,868,9029,5625,3199,1085,7287,2230,392,833,1577,7499,140,20,9748,9885,24,9644,265,9500,409,8154,1755,9454,445,8993,916,9699,191
WEST GODAVARI,WEST GODAVARI,,2023-24,82,1681,8396,4695,4172,1276,8148,1304,707,4113,3704,2296,8,567,9544,8825,1302,7226,2922,9206,955,7511,2647,9935,215,8489,1550,10048,114
Y.S.R.,Y.S.R.,,2023-24,13,960,10774,6652,2744,2370,9608,1895,272,572,2067,9089,2256,35,9391,11304,405,5223,6552,4599,7186,3884,7896,9693,2027,1829,9949,9355,2433
