State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ANJAW,ANJAW,,2023-24,0,18,42,9,41,10,11,1,4,2,0,58,0,28,32,60,0,60,0,50,8,49,7,56,0,58,0,7,52
CHANGLANG,CHANGLANG,,2023-24,1,116,1,0,118,0,0,117,1,0,117,1,0,0,118,118,0,118,0,118,0,117,0,118,0,1,0,118,0
DIBANG VALLEY,DIBANG VALLEY,,2023-24,12,32,6,11,0,26,7,6,36,33,11,6,0,4,46,49,1,35,13,45,5,38,9,50,0,50,0,34,15
EAST KAMENG,EAST KAMENG,,2023-24,84,14,0,1,96,1,73,24,1,92,5,1,0,33,65,82,16,0,98,98,0,88,10,95,3,0,0,65,33
EAST SIANG,EAST SIANG,,2023-24,129,2,0,23,102,6,23,99,9,131,0,0,0,110,21,131,0,129,2,92,39,43,77,107,23,0,0,59,72
KAMLE,KAMLE,,2023-24,0,20,1,1,20,0,0,21,0,21,0,0,0,12,9,21,0,21,0,21,0,21,0,21,0,21,0,21,0
KRA DAADI,KRA DAADI,,2023-24,0,83,0,0,83,0,0,81,1,1,81,0,0,0,83,83,0,83,0,83,0,83,0,83,0,0,0,83,0
KURUNG KUMEY,KURUNG KUMEY,,2023-24,0,74,1,0,75,0,0,73,0,3,71,1,0,2,73,75,0,74,1,72,1,73,0,73,0,0,0,72,1
LEPARADA,LEPARADA,,2023-24,0,66,0,0,66,0,0,66,0,0,66,0,0,0,66,66,0,66,0,66,0,66,0,66,0,0,0,66,0
LOHIT,LOHIT,,2023-24,0,71,34,17,88,0,18,29,40,20,10,75,0,14,91,105,0,105,0,103,2,86,3,104,1,69,17,32,73
LONGDING,LONGDING,,2023-24,2,79,2,32,34,17,66,16,1,1,29,53,1,80,2,78,5,0,83,83,0,29,52,69,10,0,0,70,13
LOWER DIBANG VALLEY,LOWER DIBANG VALLEY,,2023-24,29,60,11,43,2,43,20,18,62,57,31,12,0,24,76,69,31,43,57,98,2,77,21,100,0,90,10,56,44
LOWER SIANG,LOWER SIANG,,2023-24,68,3,0,29,39,3,13,45,13,71,0,0,0,67,4,71,0,71,0,53,18,28,38,54,17,0,0,36,35
LOWER SUBANSIRI,LOWER SUBANSIRI,,2023-24,0,69,42,94,17,0,11,97,3,103,7,1,0,49,62,109,2,111,0,111,0,111,0,111,0,111,0,111,0
NAMSAI,NAMSAI,,2023-24,0,63,81,65,76,2,4,6,55,4,32,108,0,23,121,144,0,129,15,101,39,102,2,109,0,99,45,90,54
PAKKE KESSANG,PAKKE KESSANG,,2023-24,40,39,1,2,77,1,62,17,1,67,13,0,0,9,71,3,77,0,80,80,0,73,7,70,10,0,0,36,44
PAPUM PARE,PAPUM PARE,,2023-24,0,128,1,0,128,1,0,129,0,2,127,0,0,1,128,128,1,129,0,129,0,129,0,129,0,0,0,129,0
SHI YOMI,SHI YOMI,,2023-24,0,2,68,0,70,0,0,70,0,70,0,0,0,35,35,70,0,0,69,69,1,56,14,70,0,24,46,0,70
SIANG,SIANG,,2023-24,78,0,1,25,51,3,24,49,6,79,0,0,0,78,1,78,1,76,3,54,25,32,43,73,6,1,1,58,21
TAWANG,TAWANG,,2023-24,0,90,0,0,90,0,0,90,0,0,90,0,0,3,87,89,1,90,0,90,0,90,0,90,0,0,0,90,0
TIRAP,TIRAP,,2023-24,25,84,1,69,41,0,52,56,2,45,46,19,0,110,0,110,0,0,110,110,0,98,12,109,1,0,0,102,8
UPPER SIANG,UPPER SIANG,,2023-24,0,1,79,0,80,0,0,80,0,80,0,0,0,61,19,80,0,0,79,80,0,57,22,80,0,27,53,0,80
UPPER SUBANSIRI,UPPER SUBANSIRI,,2023-24,0,100,0,0,100,0,1,97,2,2,98,0,1,0,99,97,3,99,1,99,1,99,0,100,0,1,0,100,0
WEST KAMENG,WEST KAMENG,,2023-24,62,25,3,0,15,75,60,27,3,78,8,4,0,24,66,8,82,7,83,90,0,48,42,89,1,0,0,67,23
WEST SIANG,WEST SIANG,,2023-24,125,4,0,43,82,4,30,91,8,127,2,0,0,109,20,129,0,129,0,93,36,72,56,109,18,0,0,101,28
