State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
BAKSA,BAKSA,,2023-24,982,4664,2,5373,275,0,137,2341,3170,1730,1752,2166,2,1000,4646,5648,0,5648,0,5648,0,5291,357,5648,0,0,5648,5248,400
BARPETA,BARPETA,,2023-24,17509,49797,107,58741,8669,3,3212,46149,18045,31130,24553,11730,33,15024,52356,67301,109,67412,1,67413,0,63170,4243,67413,0,0,67413,55302,12111
CACHAR,CACHAR,,2023-24,18,102,0,120,0,0,10,100,10,59,61,0,0,87,33,120,0,120,0,120,0,111,9,120,0,0,120,111,9
DARRANG,DARRANG,,2023-24,568,583,5,1156,0,0,14,548,594,624,184,348,0,400,756,1156,0,1156,0,1156,0,1085,71,1156,0,0,1156,1074,82
DHEMAJI,DHEMAJI,,2023-24,139,628,0,767,0,0,27,384,356,229,204,334,3,396,368,767,0,767,0,767,0,716,51,767,0,0,767,706,61
DHUBRI,DHUBRI,,2023-24,7223,22040,25,27884,1404,0,1042,17714,10532,13060,10360,5868,4,3986,25297,29286,2,29288,0,29283,5,27432,1856,29288,0,0,29288,26843,2445
GOALPARA,GOALPARA,,2023-24,12999,33051,12,39284,6519,259,1640,26299,18123,21512,15561,8989,1,10313,35748,46062,0,45925,137,46062,0,42869,3193,46062,0,0,46062,9949,36113
GOLAGHAT,GOLAGHAT,,2023-24,17891,62105,3,57653,22346,0,7679,66508,5812,39221,35469,5309,0,58849,21150,79997,1,79999,0,79999,0,75227,4772,79999,0,0,79999,74129,5870
HAILAKANDI,HAILAKANDI,,2023-24,2313,4685,2,4403,2574,23,731,5584,685,4221,2733,44,0,5303,1697,6999,0,6998,1,6999,1,6475,525,7000,0,1,6999,6483,517
JORHAT,JORHAT,,2023-24,3411,21611,5,22632,2395,0,1746,19207,4074,8443,10099,6485,0,17471,7556,25027,0,25027,0,25027,0,23469,1558,25027,0,0,25027,23171,1856
KAMRUP,KAMRUP,,2023-24,1133,1864,2,2922,77,0,80,1491,1428,1510,782,707,2,755,2242,2999,0,2999,0,2994,5,2796,203,2999,0,0,2999,2784,215
KARBI ANGLONG,KARBI ANGLONG,,2023-24,53,116,0,169,0,0,20,106,43,88,46,35,0,58,111,169,0,169,0,169,0,154,15,169,0,0,169,159,10
KARIMGANJ,KARIMGANJ,,2023-24,2374,6999,0,8419,954,0,581,6740,2052,4774,4046,553,2,7418,1953,9373,0,9373,0,9373,0,8772,601,9373,0,0,9373,8720,653
MARIGAON,MARIGAON,,2023-24,878,1044,6,1928,0,0,101,1342,485,1104,435,389,0,625,1303,1928,0,1928,0,1928,0,1817,111,1928,0,0,1928,1786,142
NAGAON,NAGAON,,2023-24,1628,2372,0,3340,660,0,496,3087,417,2489,1245,266,0,1897,2103,3992,8,4000,0,3999,1,3728,272,4000,0,0,4000,3702,298
SONITPUR,SONITPUR,,2023-24,4057,8756,2,9888,2927,0,1011,10571,1233,7138,5036,641,0,10506,2309,12815,0,12815,0,12815,0,12035,780,12815,0,0,12815,11847,968
UDALGURI,UDALGURI,,2023-24,334,1086,0,939,481,0,134,1128,158,745,670,5,0,1151,269,1420,0,1420,0,1420,0,1317,103,1420,0,0,1420,1317,103
