State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ARARIA,ARARIA,,2023-24,0,996,2450,3129,311,6,1236,2185,25,164,1848,1434,0,112,3335,3439,7,3417,29,3426,20,2853,593,3445,1,3329,117,3251,194
ARWAL,ARWAL,,2023-24,3,953,1522,1774,571,134,587,1625,267,164,1181,1134,17,18,2444,2474,5,1738,741,2290,169,607,1852,2137,322,83,2345,2136,323
AURANGABAD,AURANGABAD,,2023-24,12,2616,1506,2678,1305,162,1597,2176,372,417,1481,2244,71,49,4026,4141,3,2233,1906,4063,82,2889,1248,4133,10,2123,2019,4138,7
BANKA,BANKA,,2023-24,3,246,4204,4101,351,1,640,3762,51,16,895,3542,1,83,4366,4442,11,4330,123,4114,339,4205,248,4434,19,3627,826,4245,208
BEGUSARAI,BEGUSARAI,,2023-24,3,53,9251,8491,813,4,3411,5881,11,932,7452,924,17,12,9279,9298,11,9054,253,8951,355,6188,3119,9283,24,9208,90,8794,506
BHAGALPUR,BHAGALPUR,,2023-24,0,68,6367,6422,12,1,1891,4501,43,0,1758,4677,8,0,6427,6433,2,6433,2,6352,83,6111,324,6403,32,6319,116,6336,99
BHOJPUR,BHOJPUR,,2023-24,305,4697,2249,6602,580,69,3348,3552,351,2048,2768,2434,52,14,7184,7214,37,3228,4019,6457,794,6905,338,7228,20,6085,1161,7172,78
BUXAR,BUXAR,,2023-24,17,530,5342,4938,922,23,962,4733,191,81,801,5000,26,9,5851,5871,18,1376,4509,5731,148,3942,1893,5873,3,1984,3900,5833,36
DARBHANGA,DARBHANGA,,2023-24,4,2983,4919,3655,4242,9,3517,4333,56,342,6412,1152,4,0,7902,7904,2,7090,816,7886,20,7726,180,7904,1,7336,568,7891,10
GAYA,GAYA,,2023-24,63,9395,728,10089,66,36,3312,6792,87,569,8304,1315,73,32,10086,10151,38,9703,486,9291,896,9914,277,10086,47,6887,3304,9392,796
GOPALGANJ,GOPALGANJ,,2023-24,1,48,7475,4675,2612,139,370,7019,45,2491,3772,1256,281,20,7226,7478,46,6161,1269,6989,443,3772,3659,7390,37,5248,2182,7161,181
JAMUI,JAMUI,,2023-24,93,2050,1587,621,2305,802,753,2056,920,1282,1301,1147,4,2,3723,3662,66,2639,1090,3123,606,3053,675,3643,86,3295,434,3100,629
JEHANABAD,JEHANABAD,,2023-24,3,4750,595,4825,582,10,2468,2737,212,1870,3154,392,10,24,5384,5408,10,4356,1059,4931,485,2595,2821,4702,713,2804,2610,3618,1795
KAIMUR (BHABUA),KAIMUR (BHABUA),,2023-24,0,2408,2655,4971,82,10,1989,1708,1364,1095,1386,2582,8,31,5024,5033,30,597,4466,3219,1842,3455,1608,4641,421,16,5045,4720,342
KATIHAR,KATIHAR,,2023-24,1,4184,3182,4347,3005,15,3970,3387,10,898,4828,1641,0,637,6730,7367,0,7156,211,7291,76,6013,1354,7363,4,7146,221,6548,817
KHAGARIA,KHAGARIA,,2023-24,5,0,4005,2072,1855,71,124,3839,21,78,3750,181,1,6,4003,4005,4,3848,83,3881,40,3200,726,3922,4,2252,1677,3870,44
KISHANGANJ,KISHANGANJ,,2023-24,6,1644,1311,2561,341,59,1552,1227,182,931,1142,888,1,1688,1272,2782,179,1487,1474,2818,143,2280,681,2916,45,2437,524,2782,179
LAKHISARAI,LAKHISARAI,,2023-24,1,2180,801,1790,1122,70,1269,1642,70,762,1795,425,867,0,2115,2981,1,1592,1389,2720,260,2373,607,2973,7,921,2060,2979,1
MADHEPURA,MADHEPURA,,2023-24,6,3737,2636,6377,0,3,2269,3363,748,1696,3173,1509,10,141,6229,6361,19,5166,1214,6232,148,4011,2367,6341,38,3665,2715,6277,100
MADHUBANI,MADHUBANI,,2023-24,7,6086,4040,6219,3240,711,719,8819,632,3267,4763,2132,20,10,10134,10160,11,8491,1680,9740,429,6035,4135,9580,587,5981,4190,8775,1385
MUNGER,MUNGER,,2023-24,1,1545,3159,4341,318,46,1895,2787,23,299,2089,2316,9,10,4686,4671,34,3556,1146,3925,360,3541,747,4271,18,4165,539,3928,355
MUZAFFARPUR,MUZAFFARPUR,,2023-24,5,7,6117,5494,574,68,1095,4829,212,523,2630,2979,2767,2,3367,6053,82,4959,1174,5984,152,1835,4300,5953,183,1037,5098,6036,96
NALANDA,NALANDA,,2023-24,717,8346,2602,7086,4133,424,4492,6380,776,2150,5530,3980,52,10,12322,11950,335,9413,2159,10707,810,9502,2030,11220,298,4908,6735,11255,259
NAWADA,NAWADA,,2023-24,4,4973,1897,4511,2042,321,3045,3734,95,64,2725,4083,68,1,6786,6794,80,1535,5339,6858,16,6666,208,6874,0,1427,5447,6873,1
PASHCHIM CHAMPARAN,PASHCHIM CHAMPARAN,,2023-24,1,162,7418,5071,2512,1,35,7310,230,2172,2263,3141,90,7,7487,7558,14,6477,1104,7367,213,2503,5067,7528,39,6071,1500,7523,46
PATNA,PATNA,,2023-24,242,7246,1530,7889,855,274,1500,6670,847,1272,5089,2653,75,20,8921,8989,26,8365,645,7722,1285,6245,2770,8971,36,4431,4584,8432,546
PURBI CHAMPARAN,PURBI CHAMPARAN,,2023-24,58,1031,12214,5086,7315,917,1815,10779,722,1593,5443,6258,51,20,13245,13091,226,9278,4038,12190,1126,10470,2846,13265,53,6933,6384,11742,1336
PURNIA,PURNIA,,2023-24,20,4824,5298,8208,1601,353,4117,5784,261,2264,4446,3452,7,1931,8223,9832,330,7471,2688,10073,89,6708,3454,10149,13,6994,3168,9331,827
