State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
BALOD,BALOD,,2023-24,48,2525,2997,984,3362,1221,4332,972,266,2779,1189,1600,66,135,5368,5540,30,4006,1564,5092,474,3918,1645,5525,44,4613,949,5519,51
BALODA BAZAR,BALODA BAZAR,,2023-24,11,1132,3858,538,4157,306,3271,1668,62,450,1445,3106,81,12,4906,4985,16,4950,51,3319,1682,1118,3883,4958,43,1926,3070,4477,524
Balrampur,Balrampur,,2023-24,5,1871,4143,18,4010,1975,5100,904,15,269,1924,3826,17,1129,4871,4934,1085,6004,15,6001,18,2290,3729,6011,4,5640,379,6011,8
BASTAR,BASTAR,,2023-24,45,696,7701,453,5896,2093,1387,5886,1169,225,2122,6095,29,740,7663,8416,26,20,8422,7942,500,3302,5138,8047,379,1679,6761,7742,699
BEMETARA,BEMETARA,,2023-24,2,365,3643,1499,2388,123,3220,784,6,594,2369,1047,4,0,4005,3948,62,2703,1307,1826,2184,893,3117,4009,1,373,3637,4005,5
BIJAPUR,BIJAPUR,,2023-24,5,80,4717,15,3921,866,1446,3048,308,1404,1824,1574,18,124,4660,4753,49,2495,2307,3652,1150,3160,1642,4198,604,3827,975,4420,382
Bilaspur,Bilaspur,,2023-24,10,595,3459,102,1846,2117,2620,1408,37,679,885,2498,1,24,4040,4059,5,2657,1354,3819,246,3662,402,4046,19,4011,0,3999,66
DANTEWADA,DANTEWADA,,2023-24,12,519,3470,318,2055,1628,1439,2421,141,1495,808,1698,14,182,3805,3973,28,2004,1997,2923,1078,1955,2046,3460,541,3235,766,3720,281
DHAMTARI,DHAMTARI,,2023-24,10,3548,3444,2331,2631,2040,2842,3872,288,858,1567,4576,17,342,6642,6995,7,3875,3127,6913,89,2868,4134,6987,13,2762,4239,6906,96
DURG,DURG,,2023-24,228,1722,2050,995,2900,105,2510,1384,106,2322,981,697,17,348,3634,3992,8,3321,679,3867,133,3644,356,3994,6,3569,431,3955,44
GARIYABAND,GARIYABAND,,2023-24,0,2,4016,5,3663,350,2371,1642,5,73,2959,986,0,26,3992,3904,114,1179,2839,4005,13,1750,2268,4015,3,3953,65,4016,2
Gaurella Pendra Marwahi,Gaurella Pendra Marwahi,,2023-24,4,1308,1989,834,1844,564,2264,927,108,2064,929,307,6,238,3057,3283,18,863,2436,3007,227,1896,1380,3138,96,3216,85,3075,162
JANJGIR-CHAMPA,JANJGIR-CHAMPA,,2023-24,2,1013,4986,2569,3261,171,1850,4112,39,257,2256,3488,4,117,5880,5993,6,4961,1040,5693,308,2491,3509,5912,88,5945,55,5985,16
JASHPUR,JASHPUR,,2023-24,0,350,6188,0,642,5896,3426,3111,1,1,7,6530,2,311,6225,6538,0,999,5539,6532,6,212,6326,6538,0,6320,218,6538,0
KABIRDHAM,KABIRDHAM,,2023-24,18,2211,1885,569,3419,126,3089,946,79,1033,1457,1624,10,8,4096,4094,20,1683,2431,3669,445,2078,2036,4077,36,3859,253,4032,82
KANKER,KANKER,,2023-24,18,6455,2535,667,5993,2348,3100,5754,154,729,2558,5720,11,2434,6562,8962,46,8998,10,9004,4,182,8826,8980,27,9000,7,9007,1
