State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
AHMADABAD,AHMADABAD,,2023-24,0,283,4517,3073,1394,333,3412,1232,156,1276,1453,2071,46,1,4753,4550,250,4751,49,2364,2436,3224,1576,4709,91,3646,1154,3337,1463
AMRELI,AMRELI,,2023-24,1,2,6237,6237,0,3,6183,54,3,286,3247,2707,0,1,6239,6234,6,0,6239,5423,817,4277,1963,6127,113,6216,24,6223,17
ANAND,ANAND,,2023-24,0,912,2688,3599,1,0,2839,719,42,1854,873,873,165,1,3434,3461,139,954,2646,2872,728,3493,107,3599,1,3119,481,3597,3
ARVALLI,ARVALLI,,2023-24,0,231,6419,5313,1337,0,3495,3038,117,1419,1685,3546,97,0,6553,5552,1098,6351,299,6348,302,5691,959,6632,18,6179,471,6606,44
BANAS KANTHA,BANAS KANTHA,,2023-24,45,625,11667,10611,1460,266,6893,4198,1246,3960,3692,4685,489,0,11848,9900,2437,11034,1303,9012,3325,9377,2960,11013,1324,10557,1780,11859,478
BHARUCH,BHARUCH,,2023-24,0,179,6280,5637,822,0,5609,849,1,1493,1777,3189,105,0,6354,6084,375,4852,1607,6455,4,3754,2705,6436,23,5418,1041,6454,5
BHAVNAGAR,BHAVNAGAR,,2023-24,0,233,6747,3913,1740,1327,4759,2008,213,1815,2342,2822,29,0,6951,6893,86,6840,140,4248,2732,5083,1894,6835,143,4518,2456,5440,1540
BOTAD,BOTAD,,2023-24,909,691,300,985,873,42,1027,834,39,1216,424,260,4,1,1895,1415,485,1885,15,1195,705,1882,18,1586,314,69,1831,1900,0
CHHOTAUDEPUR,CHHOTAUDEPUR,,2023-24,2,1646,6822,1540,5669,1261,6712,1744,14,7079,1132,259,82,1,8387,8180,290,8053,417,7509,961,5702,2768,8469,1,274,8196,8440,30
DANG,DANG,,2023-24,3,679,2418,3092,7,1,2459,637,4,344,1616,1140,0,0,3100,3096,4,2918,182,2928,172,3023,77,3100,0,2699,401,3099,1
