State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
AMBALA,AMBALA,,2023-24,0,0,22,3786,8584,7119,788,7870,10833,63,3483,15943,570,10,18912,19466,25,16410,3076,16133,3358,15737,3738,16762,2725,14,0,11140,8352
BHIWANI,BHIWANI,,2023-24,0,0,26,6284,7627,321,821,12439,972,1070,6479,6677,1900,40,12292,13900,332,13421,810,4669,9561,10934,3295,13486,743,19,12,12768,1464
CHARKI DADRI,CHARKI DADRI,,2023-24,0,0,0,3273,4751,271,1262,6884,149,257,1328,6710,490,3,7802,8103,192,7048,1247,7189,1106,6516,1779,8177,118,0,0,8271,24
FARIDABAD,FARIDABAD,,2023-24,0,0,1,0,3397,1602,3683,1317,0,0,0,5000,1489,0,3511,4970,30,5000,0,4998,2,4978,22,0,0,0,0,5000,0
FATEHABAD,FATEHABAD,,2023-24,0,0,25,8637,4338,26,7423,4275,1306,861,8823,3316,262,11,12728,11920,1083,11578,1425,7449,5554,10738,2264,12296,681,3850,2659,8334,4670
GURUGRAM,GURUGRAM,,2023-24,0,0,58,176,2544,5624,404,7395,549,301,1672,6363,816,3,7529,8090,259,6598,1750,6510,1830,8251,48,1,1,50,0,6751,1542
HISAR,HISAR,,2023-24,0,0,35,5440,7583,1969,3096,8058,3840,38,130,14811,22,41,14929,14964,29,14086,853,7674,7321,8610,6382,13256,1728,1239,11886,12364,2630
JHAJJAR,JHAJJAR,,2023-24,0,0,102,9019,2113,63,1901,8592,702,282,1276,9837,6,8,11379,11357,37,11086,109,7654,3741,9989,1405,11123,267,104,0,10971,424
JIND,JIND,,2023-24,0,0,0,41,8673,5134,6269,7522,58,6,259,13584,99,4,13746,13614,235,13848,1,13400,449,12622,1227,13843,6,4132,30,13796,53
KAITHAL,KAITHAL,,2023-24,0,0,9,8012,3890,1769,1420,4623,7551,5016,4325,4330,759,23,12889,8279,5392,13203,467,9717,3954,7890,5778,13497,174,429,11819,8686,4982
KARNAL,KARNAL,,2023-24,0,0,4,6305,112,11382,12137,5568,95,10,3672,14114,1414,4,16379,17788,12,17487,313,17283,516,17688,112,17762,33,28,6370,17585,215
KURUKSHETRA,KURUKSHETRA,,2023-24,8,752,3151,8054,5444,2337,6474,8526,837,277,6052,9504,773,26,15035,15738,93,15314,517,14022,1814,15101,731,15506,281,2271,4461,14989,847
MAHENDRAGARH,MAHENDRAGARH,,2023-24,1,13,10581,1662,10404,4905,1954,6632,8387,303,2573,14097,2357,5,14611,15956,1017,13604,3367,6930,10041,10592,6377,10318,281,2304,8297,14720,2251
NUH,NUH,,2023-24,0,0,50,9052,3935,5013,5945,8833,3222,0,0,18000,933,0,17067,10718,7282,16371,1629,13083,4917,15167,2833,10228,197,89,907,15627,2373
PALWAL,PALWAL,,2023-24,0,0,0,7530,2645,25,7414,2785,1,1,34,10164,0,0,10200,10050,146,10200,0,9727,473,10071,129,10114,83,0,0,9758,442
PANCHKULA,PANCHKULA,,2023-24,0,0,14,4239,4175,1004,2037,4050,3334,64,2565,6784,115,3,9301,9412,8,8016,1400,7816,1603,8497,920,9120,283,5967,686,6445,2976
PANIPAT,PANIPAT,,2023-24,0,0,6,910,5644,1841,2225,5159,1011,2095,3450,2848,223,29,8142,8142,250,8163,229,7693,702,7859,535,8036,27,549,65,7442,953
REWARI,REWARI,,2023-24,0,0,0,10381,3266,110,2166,10852,739,0,0,13758,69,0,13689,13758,0,13545,211,13712,44,13659,97,13748,7,0,0,13749,9
ROHTAK,ROHTAK,,2023-24,0,0,1,2910,1817,1695,3601,2017,805,28,1380,5014,70,7,6336,3702,2720,6245,178,5076,1347,4748,1673,6137,266,1737,1819,5153,1270
SIRSA,SIRSA,,2023-24,117,1931,18052,1733,5947,12421,2245,7501,10355,247,4457,15394,5447,27,14628,19373,728,15141,4961,3736,16365,6977,13102,11067,8982,5285,14814,2951,17151
SONIPAT,SONIPAT,,2023-24,0,0,18,4619,2987,6112,3438,7702,2578,1808,3854,8056,674,27,13017,12354,1364,12991,727,6191,7527,9224,4491,12920,758,1504,5445,7645,6070
YAMUNANAGAR,YAMUNANAGAR,,2023-24,0,0,3,11909,6592,6297,1366,6272,17159,28,677,24084,116,58,24623,24755,41,19832,4966,22144,2653,21938,2859,24120,675,8,4,8137,16660
