State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
BILASPUR,BILASPUR,,2023-24,0,94.52,5.48,8.57,84.76,6.67,0.1,77.89,22.01,2.89,87.95,9.16,0,0,100,100,0,100,0,89.74,10.26,88.14,11.86,100,0,100,0,99.8,0.2
CHAMBA,CHAMBA,,2023-24,0.1,84.68,15.22,0,75.08,24.92,0,62.76,37.24,98.3,1.7,0,0,0,100,100,0,0,0,100,0,0,0,0,0,0,0,0,0
HAMIRPUR,HAMIRPUR,,2023-24,8.31,84.98,6.71,20.82,75.78,3.4,9.11,87.49,3.4,58.96,35.74,5.31,0,0.1,99.9,99.9,0.1,99.2,0.8,97.1,2.9,98.3,1.7,100,0,0,0,96.8,3.2
KANGRA,KANGRA,,2023-24,0.1,56.56,43.34,19.66,69.35,10.99,41.5,55.84,2.66,78.26,17.43,4.31,0,0.44,99.56,100,0,99.85,0.15,99.18,0.82,99.9,0.1,99.95,0.05,99.13,0.87,99.27,0.73
KINNAUR,KINNAUR,,2023-24,0,87.32,12.68,59.15,30.99,9.86,71.13,27.46,1.41,100,0,0,0,0,100,100,0,0,0,100,0,100,0,100,0,0,0,100,0
KULLU,KULLU,,2023-24,0,0.09,99.91,71.72,23.7,4.58,49.01,32.85,18.13,93.72,2.96,3.32,0.18,2.96,96.86,99.37,0.63,72.62,27.38,89.23,10.77,92.19,7.81,97.49,2.51,99.46,0.54,73.43,26.57
LAHUL AND SPITI,LAHUL AND SPITI,,2023-24,0,0,100,91.35,8.65,0,50.96,19.23,29.81,94.23,2.88,2.88,0,0,100,100,0,100,0,98.08,1.92,99.04,0.96,100,0,100,0,36.54,63.46
MANDI,MANDI,,2023-24,0,5.21,94.79,28.82,46.78,24.4,39.88,42.02,18.1,89.64,5.03,5.33,0.12,2.64,97.24,100,0,50,50,96.38,3.62,95.28,4.72,98.09,1.91,100,0,84.54,15.46
SHIMLA,SHIMLA,,2023-24,0.18,0,99.82,36.04,35.5,28.46,74.14,24.23,1.63,94.94,2.53,2.53,0.18,3.89,95.93,99.82,0.18,0,0,93.59,6.41,89.51,10.49,99.01,0.99,0,0,66.67,33.33
SIRMAUR,SIRMAUR,,2023-24,2.88,53.38,43.74,41.95,58.05,0,90.56,9.05,0.4,93.94,6.06,0,0,0.1,99.9,0,0,0,0,50,50,100,0,100,0,0,0,0,100
SOLAN,SOLAN,,2023-24,0,0,100,33.14,62.85,4.01,40.92,53.22,5.86,92.38,7.52,0.1,0.1,0.2,99.71,99.7,0.3,0,0,97.95,2.05,95.31,4.69,100,0,0,0,81.64,18.36
UNA,UNA,,2023-24,0.34,63.96,35.7,0.09,88.98,10.93,0,61.57,38.43,16.31,36.29,47.4,0,0,100,99.83,0.17,0,0,100,0,83.33,16.67,100,0,0,0,100,0
