State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ANANTNAG,ANANTNAG,,2023-24,1221,2583,497,1192,2606,503,2420,1741,138,2926,928,446,32,56,4213,4201,36,903,98,3319,975,3527,763,4224,66,958,41,3031,1266
BANDIPORA,BANDIPORA,,2023-24,1,1510,1855,1824,1541,1,1599,1716,51,2425,583,358,7,4,3355,3360,6,989,16,299,3067,491,2874,3176,180,1735,1631,1464,1894
BARAMULLA,BARAMULLA,,2023-24,301,3742,2455,4728,1576,216,2494,3812,214,1826,1794,2902,3,6,6515,6518,5,5049,1465,6143,370,5383,1123,6509,1,143,1350,6211,302
Budgam,Budgam,,2023-24,12,1942,1716,2932,912,9,331,3472,50,2662,948,242,10,7,3835,3834,19,2319,1523,1113,2738,1202,2601,3820,31,315,292,3461,379
DODA,DODA,,2023-24,107,2155,351,120,2178,315,223,2216,174,256,1416,941,2,2,2609,2609,3,2395,215,2294,319,1218,1395,2383,221,0,0,2417,196
GANDERBAL,GANDERBAL,,2023-24,170,1625,84,1201,664,11,633,1132,114,1787,71,21,5,5,1869,1867,12,1813,58,871,1008,1487,391,1851,27,176,333,1652,227
JAMMU,JAMMU,,2023-24,95,2539,1497,72,4056,3,1255,2820,56,240,1525,2363,16,6,4106,4118,8,4114,16,4069,62,3936,176,4108,2,3911,220,4100,31
KATHUA,KATHUA,,2023-24,574,2128,298,2376,587,37,29,2866,105,981,1419,599,12,147,2840,2986,14,2927,73,2366,634,2688,305,2972,18,2673,324,2941,59
KISHTWAR,KISHTWAR,,2023-24,34,985,55,91,979,4,97,967,10,165,724,185,0,1,1073,942,132,819,255,478,596,495,579,623,451,12,10,622,451
KULGAM,KULGAM,,2023-24,2,1116,1967,2882,192,11,163,2115,807,2465,558,62,8,656,2421,2348,736,1421,1664,1146,1939,2613,471,2946,137,1544,1541,1743,1342
KUPWARA,KUPWARA,,2023-24,150,3848,1231,4278,947,4,538,4508,183,4311,586,331,32,15,5181,4005,1224,4537,692,1926,3303,4738,491,5139,90,5092,137,1510,3719
POONCH,POONCH,,2023-24,1592,204,4,661,1012,127,1038,641,121,1671,129,0,7,1,1792,1593,207,1604,196,1415,385,1798,2,1587,213,1800,0,976,824
PULWAMA,PULWAMA,,2023-24,44,2640,451,1092,2058,14,1114,2024,26,2860,167,137,4,2,3158,3076,88,2644,484,854,144,622,377,949,50,635,365,808,190
RAJOURI,RAJOURI,,2023-24,1951,643,6,127,2257,216,74,2523,3,2170,428,1,2,0,2598,2599,0,2591,7,2594,6,2236,364,2589,11,0,1,2598,2
RAMBAN,RAMBAN,,2023-24,87,914,15,19,981,15,46,923,46,123,793,99,0,9,1006,1013,2,964,52,749,266,892,124,692,322,947,69,767,248
REASI,REASI,,2023-24,1415,345,79,90,791,958,82,558,1199,1509,207,123,2,3,1834,1836,3,261,1578,382,1457,775,1064,1086,752,6,1576,755,1083
SAMBA,SAMBA,,2023-24,4,409,987,299,979,122,4,1378,18,9,131,1260,3,0,1397,1399,1,1006,394,1060,340,896,504,1336,64,1384,16,934,466
SHOPIAN,SHOPIAN,,2023-24,3,2050,718,203,2545,23,59,2486,226,2481,260,30,5,276,2490,2753,17,2094,282,30,1353,2044,324,264,1117,1097,287,1205,178
SRINAGAR,SRINAGAR,,2023-24,60,621,579,1183,77,0,870,367,23,507,297,456,159,2,1099,1120,140,1238,22,901,359,1189,71,1241,19,1259,1,1244,16
UDHAMPUR,UDHAMPUR,,2023-24,1043,1588,369,776,1826,397,168,1409,1423,1331,1052,616,4,2,2994,2991,9,1076,1924,1509,1491,1751,1244,1573,1404,972,608,779,2221
