State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
BOKARO,BOKARO,,2023-24,8,761,1702,1038,1129,304,159,1897,417,575,398,1498,7,1907,552,2464,4,2176,296,1830,640,2367,106,2453,15,925,1548,2461,9
CHATRA,CHATRA,,2023-24,33,2633,2855,2610,2490,422,2112,2861,549,480,2141,2898,16,270,5226,5487,30,4926,597,5184,339,3093,2430,5012,505,3751,1772,5440,84
DEOGHAR,DEOGHAR,,2023-24,57,4333,5565,1975,7820,173,537,8507,935,506,6277,3151,79,1915,7887,9900,20,8994,992,9978,17,6989,3001,9985,2,9374,612,9991,6
DHANBAD,DHANBAD,,2023-24,4,386,4127,29,4409,83,33,3943,547,1498,1025,2000,8,4154,361,3757,766,4448,75,4517,6,4466,57,4517,5,2321,2202,4304,219
DUMKA,DUMKA,,2023-24,22,3272,7673,396,6885,3694,45,5621,5310,1553,4966,4448,22,6418,4512,10595,366,8091,2887,10467,469,6737,4191,10840,97,6055,4920,10388,531
EAST SINGHBUM,EAST SINGHBUM,,2023-24,86,3104,1470,592,3367,703,523,3626,513,904,1481,2272,4,2031,2612,4654,2,3928,734,4658,4,4361,301,4552,110,2436,2226,4661,1
GARHWA,GARHWA,,2023-24,3,931,1512,128,2252,56,40,2297,109,106,1003,1336,27,53,2364,2382,62,1861,585,2423,22,733,1713,2437,3,935,1511,2391,54
GIRIDIH,GIRIDIH,,2023-24,7,2401,7938,2337,6988,1023,579,7018,2754,2589,5164,2588,11,3816,6504,10300,36,9192,1159,9959,395,9531,807,10168,141,7874,2479,9768,576
GODDA,GODDA,,2023-24,127,3356,5028,5508,2668,336,1549,5860,1103,1682,3786,3037,256,4356,3887,8418,82,8114,399,8486,26,8296,215,8489,14,7734,778,8229,283
GUMLA,GUMLA,,2023-24,0,1044,2506,756,2785,9,166,2919,465,0,2142,1408,0,589,2961,3550,0,3542,8,3547,3,3216,334,3547,3,3135,415,3547,3
HAZARIBAGH,HAZARIBAGH,,2023-24,8,407,3677,30,3997,65,647,3094,351,2440,750,902,2,3288,796,3948,142,4030,62,4087,6,4081,12,4092,0,2594,1498,4050,43
JAMTARA,JAMTARA,,2023-24,41,943,3265,2476,1187,586,101,705,3443,786,1122,2339,68,2611,1569,4192,55,3014,1235,3911,336,1306,2940,2949,1298,1663,2584,306,3926
KHUNTI,KHUNTI,,2023-24,4,2403,387,268,2298,281,44,2690,114,346,2317,184,3,684,2161,2833,12,1967,881,2714,7,2576,143,2716,3,2209,639,2717,3
KODERMA,KODERMA,,2023-24,0,340,59,9,138,252,8,381,10,101,268,30,0,62,337,399,0,283,116,397,2,381,18,399,0,273,126,398,1
LATEHAR,LATEHAR,,2023-24,234,1785,866,285,1100,1500,1786,1050,49,817,1112,956,0,736,2147,2880,5,145,2709,0,1,35,0,0,0,1,0,0,0
LOHARDAGA,LOHARDAGA,,2023-24,3,242,2147,1639,567,179,92,798,1496,352,836,1203,80,491,1824,2384,8,2236,152,2241,141,2324,65,2096,81,2134,258,2201,188
PAKUR,PAKUR,,2023-24,9,2617,1841,244,3083,1140,226,3915,325,1300,2818,346,4,2231,2221,4336,126,3472,995,4311,156,4330,136,4458,1,3038,1428,4463,4
PALAMU,PALAMU,,2023-24,157,3082,2339,1966,2908,674,1221,3616,730,2357,1988,1210,108,850,4598,5514,40,3764,1697,3796,670,4250,219,4269,39,1211,49,1804,681
RAMGARH,RAMGARH,,2023-24,52,632,591,588,685,2,129,505,641,644,397,234,0,616,659,1275,0,231,323,529,25,339,215,554,0,425,129,534,20
RANCHI,RANCHI,,2023-24,19,2011,771,483,2135,183,279,2317,206,996,1413,389,0,2033,764,2794,6,1891,912,2663,79,2349,395,2576,147,1980,820,2706,36
SAHEBGANJ,SAHEBGANJ,,2023-24,97,6153,539,6356,414,21,466,5933,392,4281,2319,187,15,127,6640,6613,167,6686,105,6736,55,6579,210,6661,40,6586,201,6687,104
SARAIKELA KHARSAWAN,SARAIKELA KHARSAWAN,,2023-24,14,330,4010,2329,1314,711,324,3778,252,298,1236,2818,1,3463,882,4339,9,3518,834,3163,1189,3935,419,4070,260,1274,3079,3536,813
SIMDEGA,SIMDEGA,,2023-24,1,736,961,17,1664,17,1201,497,0,755,667,276,0,644,1054,1698,0,1698,0,1698,0,1018,680,1698,0,1184,514,1698,0
WEST SINGHBHUM,WEST SINGHBHUM,,2023-24,41,3378,2900,1580,4574,167,391,5358,566,776,3710,1833,79,3230,3006,6312,7,6291,29,6306,11,4957,1363,6309,8,4345,1974,6314,3
