State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
BAGALKOTE,BAGALKOTE,,2023-24,71,1760,9238,7331,3100,638,6153,4288,628,238,1479,9352,466,18,10585,10769,300,9264,1805,29,11040,660,10409,10713,356,7154,3914,8458,2611
BALLARI,BALLARI,,2023-24,2542,2319,217,1463,2820,795,1337,2414,1327,4666,352,60,655,102,4321,4768,309,2463,2615,2826,2252,2821,2256,5028,50,693,4385,4935,143
BELAGAVI,BELAGAVI,,2023-24,5,510,8550,3224,2771,3071,5722,2933,411,56,768,8242,1216,281,7569,9063,3,4061,5005,1742,7324,3191,5875,8770,296,108,8958,5688,3378
BENGALURU RURAL,BENGALURU RURAL,,2023-24,8,158,4242,3062,1165,181,939,2241,1228,179,1018,3211,2,1682,2724,4348,60,1529,2879,1584,2824,1334,3074,3436,972,63,4343,3564,844
BENGALURU URBAN,BENGALURU URBAN,,2023-24,0,109,2391,1590,863,47,594,1355,551,119,593,1788,3,513,1984,2458,42,692,1808,1107,1393,852,1648,2323,177,26,2473,2345,155
BIDAR,BIDAR,,2023-24,2,6213,4063,458,9374,449,10145,134,2,1688,6135,2458,5,19,10257,10273,8,1080,9201,3250,7031,5168,5113,10192,89,3932,6349,9359,922
CHAMARAJANAGARA,CHAMARAJANAGARA,,2023-24,2853,3883,859,2767,4279,548,1072,4084,2439,2047,2592,2956,309,153,7133,7549,46,6672,921,2297,5298,3783,3809,7323,269,1842,5753,6806,789
CHIKKABALLAPURA,CHIKKABALLAPURA,,2023-24,5,1,6298,5155,1148,1,1282,5015,7,2268,3989,47,2,0,6302,6304,0,4919,1385,5777,527,3026,3278,6273,31,4392,1912,6300,4
CHIKKAMAGALURU,CHIKKAMAGALURU,,2023-24,1,713,6132,5453,748,645,2748,2894,1204,1364,1850,3632,367,1607,4872,6844,2,2210,4636,5799,1047,4197,2649,6597,249,684,6162,6758,88
CHITRADURGA,CHITRADURGA,,2023-24,25,3402,9244,12136,531,4,1060,11389,222,437,5508,6726,24,13,12634,12561,110,12125,546,7877,4794,12037,634,12086,585,2247,10424,10141,2530
DAKSHINA KANNADA,DAKSHINA KANNADA,,2023-24,2,82,3091,545,1612,1018,5,13,3157,3001,166,8,0,1754,1421,3172,2,2484,691,2415,760,1973,1202,3023,152,320,2854,2016,1159
