State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
AGAR MALWA,AGAR MALWA,,2023-24,6,4897,5437,2291,5523,2526,5567,2709,2064,1327,5699,3314,21,119,10200,10333,6,7366,2972,6321,4019,3724,6613,7112,3225,3897,6440,9135,1205
ALIRAJPUR,ALIRAJPUR,,2023-24,17,3758,7511,4767,6472,47,562,10437,287,2110,6271,2904,59,2379,8844,4923,6362,7242,4042,8804,2482,1356,9920,6273,4957,2307,8972,10550,735
ANUPPUR,ANUPPUR,,2023-24,0,182,2341,1746,777,0,0,2486,37,738,1203,582,0,4,2519,2504,19,2432,91,2279,244,1534,989,2523,0,800,1723,2523,0
ASHOKNAGAR,ASHOKNAGAR,,2023-24,9,451,5838,287,5568,443,766,5506,27,340,4610,1345,31,6,6254,6286,9,6061,240,6047,258,2152,4152,6298,9,3525,2774,6298,10
BALAGHAT,BALAGHAT,,2023-24,293,16553,3268,8391,7981,3746,11593,8317,218,16586,2746,770,18,23,19990,19796,291,11961,71,20079,59,17958,2178,19995,104,11043,991,20102,36
BARWANI,BARWANI,,2023-24,4,5176,8838,1156,11768,1097,2078,11830,115,6359,6382,1274,33,35,13933,8610,5395,13084,940,12487,1539,8991,5029,13552,466,11310,2713,7076,6948
BETUL,BETUL,,2023-24,2,527,16869,2518,12702,2206,4801,12479,156,1510,9545,6302,14,4,17158,17277,15,12226,5203,16166,1280,6743,10699,16693,681,11912,5529,17319,129
BHIND,BHIND,,2023-24,0,1,49,0,47,3,34,13,3,0,5,45,0,0,50,48,2,45,5,49,1,40,10,47,2,46,4,50,0
BHOPAL,BHOPAL,,2023-24,0,294,532,224,322,279,603,212,11,292,204,330,0,0,826,826,0,730,96,706,120,323,503,777,49,755,71,816,10
BURHANPUR,BURHANPUR,,2023-24,0,97,735,10,771,51,498,318,16,168,319,345,1,0,831,832,0,452,380,326,506,348,483,663,161,431,401,654,178
CHHATARPUR,CHHATARPUR,,2023-24,10,710,5662,2997,2754,631,3537,2670,173,1333,1090,3957,1,1,6380,6366,16,0,3,2658,1372,3830,199,4004,26,3,3,3923,106
CHHINDWARA,CHHINDWARA,,2023-24,1289,11172,4032,4734,9911,1870,9555,6044,924,12580,1885,1982,41,67,16219,15008,1395,14022,2521,13208,3382,9918,6646,15367,1164,13718,2832,14908,1690
DAMOH,DAMOH,,2023-24,404,7110,3602,81,9776,1259,2753,8201,163,5506,3747,1860,2,62,11040,8501,2609,10743,374,4391,6726,10711,406,11095,21,10501,206,10994,123
DATIA,DATIA,,2023-24,2,227,2514,1331,1303,109,1145,1481,117,738,1049,955,26,0,2717,2743,0,2645,96,1489,1230,1563,1154,2676,58,2271,459,2484,259
DEWAS,DEWAS,,2023-24,251,3253,10893,830,13109,593,1647,12041,848,2669,6882,4751,605,101,13506,13348,928,11289,3240,11688,2876,6458,7961,14117,204,10975,3458,10713,3851
DHAR,DHAR,,2023-24,37,14881,10718,2607,20126,2915,16190,9226,243,22357,2689,564,38,24,25452,25538,32,17689,7973,16848,8815,14303,11342,21684,3701,17220,8424,17497,8163
DINDORI,DINDORI,,2023-24,192,2233,485,18,2413,479,2111,785,14,2492,261,157,1,58,2838,2909,1,2679,231,2878,32,1942,968,2909,0,2905,5,2909,1
GUNA,GUNA,,2023-24,6,413,13417,2790,10719,327,10,9919,3907,1182,11981,672,14,2,13817,13831,4,12818,1018,11745,2091,8344,5491,13664,154,12868,968,13548,288
GWALIOR,GWALIOR,,2023-24,7,0,3393,3389,7,4,5,3380,15,4,3379,17,4,2,3394,3398,0,3385,14,2945,455,1533,1867,3378,17,2542,579,3396,4
HARDA,HARDA,,2023-24,0,2365,5939,7259,1044,1,2778,5511,15,5255,3047,2,0,4,8300,8296,8,8172,132,8299,5,5359,2945,8273,30,6673,1631,8303,1
INDORE,INDORE,,2023-24,1,2,4275,63,3712,504,4244,30,9,36,1987,2251,4,0,4268,4273,1,3622,659,3847,433,3279,1000,4224,49,3735,515,4204,77
JABALPUR,JABALPUR,,2023-24,6,4363,3995,5022,2668,677,7740,575,53,4868,2912,588,3,11,8352,8349,17,8244,123,7816,547,7021,1345,8322,37,8269,96,8133,230
JHABUA,JHABUA,,2023-24,5,3690,2786,1518,4542,421,1063,5013,405,4229,1389,862,2,8,6470,4,6477,6066,414,2719,3762,4566,1915,6410,71,2048,4433,6466,15
KATNI,KATNI,,2023-24,1,130,247,5,131,242,116,239,23,135,137,106,0,0,378,377,1,304,74,341,37,26,352,339,39,293,85,343,35
KHANDWA (EAST NIMAR),KHANDWA (EAST NIMAR),,2023-24,2,3214,16081,584,11524,7193,12506,6495,299,7779,10722,793,32,27,19223,18340,955,16874,2425,17895,1405,13063,6234,19244,57,10802,8418,19088,215
KHARGON(WEST NIMAR),KHARGON(WEST NIMAR),,2023-24,33,308,18314,962,16275,1418,10060,8454,142,1625,2744,14285,65,19,18567,18601,53,12781,5875,6320,12338,7187,11469,14512,4134,10783,7868,15761,2896
MAIHAR,MAIHAR,,2023-24,0,44,73,113,4,0,85,32,0,43,31,43,2,0,115,117,0,75,42,117,0,60,57,91,26,88,29,117,0
MANDLA,MANDLA,,2023-24,2,2187,3245,1137,4049,251,2517,2808,112,2604,1772,1052,4,664,4744,5363,59,4988,448,1317,4338,2880,2557,4444,1302,3455,1980,2967,2782
MANDSAUR,MANDSAUR,,2023-24,20,3260,5669,176,2503,6275,2905,5911,143,4190,3691,1064,17,25,8893,7469,1461,5966,2985,2421,6541,4410,4551,8528,391,2632,576,7699,1264
MAUGANJ,MAUGANJ,,2023-24,0,49,79,1,125,2,39,88,1,51,67,10,0,0,128,127,1,128,0,64,64,9,119,127,1,121,7,125,3
MORENA,MORENA,,2023-24,8,1097,9178,5313,4077,893,813,8267,1203,1135,4786,4044,45,2377,7861,10226,31,6200,4083,7066,3217,2485,7796,8874,1398,5383,4900,9417,865
NARMADAPURAM,NARMADAPURAM,,2023-24,0,1,1,2,0,0,1,1,0,1,0,1,0,0,2,2,0,2,0,2,0,0,2,2,0,2,0,2,0
NARSINGHPUR,NARSINGHPUR,,2023-24,18,141,6546,3387,2179,1139,4379,2115,214,411,2821,3474,18,10,6650,6685,17,4976,1731,2979,3728,5583,1124,6685,2,5817,888,6641,67
NEEMUCH,NEEMUCH,,2023-24,2,3043,3249,4,3028,3262,4916,1232,146,3575,1782,937,36,1,6257,6165,129,2384,3910,4728,1566,3897,2378,6190,102,3137,3103,5903,391
Niwari,Niwari,,2023-24,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,2,0,2,0,0,0,2,0
PANDHURNA,PANDHURNA,,2023-24,6,3,1,1,7,2,6,3,1,9,0,1,0,0,10,10,0,7,3,10,0,9,1,10,0,9,1,10,0
PANNA,PANNA,,2023-24,4,890,41,3,929,3,252,671,12,366,562,7,4,1,930,932,3,927,8,685,250,19,916,934,0,671,264,931,4
RAISEN,RAISEN,,2023-24,306,3042,16017,464,17920,634,8758,10135,118,2591,9656,6733,211,110,18949,16499,2486,11836,7546,16245,3158,11855,7180,18715,287,15101,3981,18272,950
RAJGARH,RAJGARH,,2023-24,16,248,12852,9398,3679,39,3210,7548,2358,1019,6036,6061,5,101,13008,11339,1777,10580,2536,9670,3446,6477,6639,10547,2569,5766,7350,13116,0
RATLAM,RATLAM,,2023-24,15,491,17368,333,15996,1545,16754,1054,66,1132,8235,8507,43,20,17808,17662,212,17451,423,17190,684,16543,1331,17848,13,17679,195,17813,61
REWA,REWA,,2023-24,9,4390,9234,42,13410,181,4650,8928,55,4446,7759,1428,4,14,13615,13393,240,13450,183,7130,6503,1355,12278,13541,92,13340,291,13237,396
SAGAR,SAGAR,,2023-24,244,2147,1095,4,1893,1589,153,2176,1156,1781,955,750,3,1,3480,3481,4,1222,455,1624,52,1160,516,1675,1,394,256,1672,4
SATNA,SATNA,,2023-24,14,2076,2721,4535,276,0,4033,773,5,2075,1046,1690,60,1,4750,4811,0,3138,1673,4788,23,2137,2674,3913,897,4485,326,4782,29
SEHORE,SEHORE,,2023-24,2,6295,7314,208,10735,2668,9812,3770,30,8204,2304,3103,9,12,13583,13565,43,9483,4128,11354,2258,9904,3708,13548,62,12257,1354,13052,560
SEONI,SEONI,,2023-24,8,3317,2135,2303,2773,383,4083,1344,33,3330,925,1201,12,165,5283,4086,1366,4882,577,5412,48,3049,2404,5389,70,4996,452,5448,12
SHAHDOL,SHAHDOL,,2023-24,11,742,5069,60,3269,2493,5454,357,12,732,1425,3663,10,183,5624,5794,25,3696,2128,5819,7,816,5010,5746,23,5557,267,5808,18
