State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
AHILYANAGAR,AHILYANAGAR,,2023-24,16,5,9047,7100,1135,906,2389,3570,3191,7210,894,1004,1349,14,7787,8882,263,3440,5564,445,8704,1731,7416,8841,309,5666,3420,7572,1575
AKOLA,AKOLA,,2023-24,10,68,5722,3839,1779,182,5459,173,168,51,510,5239,14,0,5786,5792,8,246,5554,0,5800,953,4844,5770,30,72,5726,3771,2029
AMRAVATI,AMRAVATI,,2023-24,9,114,9209,1961,2909,4463,8216,879,239,456,1521,7347,119,75,9123,9216,108,1282,8053,4305,5033,4932,4394,9248,22,3778,5384,8475,860
BEED,BEED,,2023-24,13,1748,4261,2633,3054,334,3985,1915,123,1781,2140,2099,976,6,5035,6010,9,5681,342,192,5833,2395,3629,5893,99,5767,258,4714,1311
BHANDARA,BHANDARA,,2023-24,4,1171,7218,1516,4320,2555,5972,2348,73,3273,2343,2775,8,964,7421,8383,10,6802,1591,7161,1230,6545,1848,8264,117,2724,5652,8125,268
BULDHANA,BULDHANA,,2023-24,7,91,9273,483,6898,1990,8991,339,41,4564,2289,2509,84,5,9277,9361,9,8978,393,966,8401,2272,7087,9216,118,8823,548,9187,183
CHANDRAPUR,CHANDRAPUR,,2023-24,3,2651,8244,316,10339,243,4390,6390,118,230,1849,8818,42,70,10786,10873,23,5947,4951,6681,4215,6251,4642,10088,803,7165,3731,10416,482
Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,,2023-24,2,11,5933,5448,447,52,4364,1332,251,44,2338,3561,1968,1,3969,5917,24,5888,60,41,5907,1417,4529,5890,54,4596,1350,5764,183
DHARASHIV,DHARASHIV,,2023-24,0,0,5763,8,284,5471,4313,1417,33,6,135,5617,2,4,5757,5758,1,4,5758,401,5362,1343,4417,5665,98,3428,2334,5684,79
DHULE,DHULE,,2023-24,6,105,7082,835,6069,289,7073,105,15,69,2425,4699,3,1,7189,7186,7,6032,1161,4861,2332,4909,2283,7191,1,5277,1915,7148,45
GADCHIROLI,GADCHIROLI,,2023-24,13,194,7526,58,3952,3725,179,7281,275,1076,3906,2749,68,1302,6356,7683,42,2737,4998,1883,5848,1273,6462,3965,3687,5752,1962,1165,6541
