State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
EAST GARO HILLS,EAST GARO HILLS,,2023-24,37,917,50,2,809,193,5,792,207,802,191,9,1,521,482,1001,3,62,700,955,49,579,425,847,157,94,668,901,103
EAST JAINTIA HILLS,EAST JAINTIA HILLS,,2023-24,2,1004,198,305,898,1,62,1121,20,1180,24,0,0,1117,87,1203,1,0,0,825,379,1109,95,1203,1,1,0,1092,112
EAST KHASI HILLS,EAST KHASI HILLS,,2023-24,4,1292,747,1144,480,419,230,1032,781,1954,53,36,4,1064,975,2042,1,1982,61,126,1917,289,1754,36,2005,263,1780,174,1869
EASTERN WEST KHASI HILLS,EASTERN WEST KHASI HILLS,,2023-24,3,433,262,295,210,193,256,349,93,632,38,28,2,331,365,698,0,678,20,65,633,111,587,13,685,69,629,24,674
NORTH GARO HILLS,NORTH GARO HILLS,,2023-24,17,816,84,5,777,135,92,713,112,821,82,10,0,425,492,917,0,6,298,875,42,346,571,618,299,106,197,804,113
RI BHOI,RI BHOI,,2023-24,3,252,733,391,348,249,355,447,186,921,48,18,1,373,614,987,1,974,14,138,850,262,726,13,975,166,822,309,679
SOUTH GARO HILLS,SOUTH GARO HILLS,,2023-24,15,998,139,4,991,157,3,849,300,1006,140,6,0,462,690,1151,1,98,679,1078,74,560,592,858,293,203,574,978,174
SOUTH WEST GARO HILLS,SOUTH WEST GARO HILLS,,2023-24,22,484,123,22,479,128,43,375,211,575,52,2,1,473,155,629,0,58,348,521,108,94,534,359,269,80,326,518,111
SOUTH WEST KHASI HILLS,SOUTH WEST KHASI HILLS,,2023-24,0,242,230,236,139,97,57,295,120,440,23,9,1,165,305,470,2,466,6,50,422,39,433,2,470,50,422,24,448
WEST GARO HILLS,WEST GARO HILLS,,2023-24,28,992,278,1,1108,189,70,921,307,1115,170,10,2,804,492,1295,3,61,778,943,355,402,892,760,538,104,735,994,304
WEST JAINTIA HILLS,WEST JAINTIA HILLS,,2023-24,0,1206,589,1048,743,4,166,1578,51,1710,72,13,0,1674,121,1795,0,0,0,1265,530,1608,185,1791,1,0,0,1662,133
WEST KHASI HILLS,WEST KHASI HILLS,,2023-24,1,500,298,185,397,217,100,436,263,780,14,5,1,446,352,798,1,798,1,17,782,238,561,1,798,9,790,7,792
