State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
AIZAWL,AIZAWL,,2023-24,1,42,558,171,392,38,36,246,319,590,2,9,1,288,312,0,0,0,2,2,0,1,1,2,0,2,0,0,0
CHAMPHAI,CHAMPHAI,,2023-24,2,1,379,12,346,24,35,190,157,297,52,33,1,226,155,1,0,1,0,1,0,1,0,1,0,0,1,1,0
Hnahthial,Hnahthial,,2023-24,0,420,2,2,109,310,0,120,302,0,82,339,1,210,210,0,0,1,1,0,0,1,0,0,0,1,0,0,0
KHAWZAWL,KHAWZAWL,,2023-24,0,6,197,18,172,13,0,65,138,203,0,0,0,51,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOLASIB,KOLASIB,,2023-24,19,283,197,97,400,3,11,483,6,459,40,1,0,296,204,52,448,0,499,1,499,492,0,498,0,499,0,0,500
LAWNGTLAI,LAWNGTLAI,,2023-24,0,458,3,3,134,324,0,147,314,2,144,315,2,211,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUNGLEI,LUNGLEI,,2023-24,32,209,241,27,202,253,0,207,275,248,65,169,3,173,306,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MAMIT,MAMIT,,2023-24,0,176,324,11,489,0,160,329,11,449,25,26,0,329,171,0,500,0,0,0,1,0,0,0,0,0,0,0,0
SAIHA,SAIHA,,2023-24,0,463,19,8,165,309,0,149,333,0,4,477,1,270,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAITUAL,SAITUAL,,2023-24,1,51,602,13,570,72,1,231,422,600,19,35,1,211,438,2,0,2,0,1,0,1,0,1,0,0,1,1,0
SERCHHIP,SERCHHIP,,2023-24,0,32,449,160,291,30,3,94,383,344,76,61,1,289,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
