State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Chumoukedima,Chumoukedima,,2023-24,0,201,181,3,377,2,180,201,1,307,56,19,1,381,0,381,0,0,382,381,1,356,26,380,2,132,250,42,340
DIMAPUR,DIMAPUR,,2023-24,1,392,430,54,760,9,539,269,15,441,111,271,5,685,133,823,0,2,821,821,1,649,174,763,60,433,390,321,502
KIPHIRE,KIPHIRE,,2023-24,136,718,100,564,195,195,222,423,309,474,253,227,1,509,444,914,40,945,9,760,194,837,117,921,33,923,31,855,99
KOHIMA,KOHIMA,,2023-24,6,227,769,542,431,29,179,125,698,873,84,45,1,615,386,997,5,422,580,963,39,708,292,994,8,867,134,701,301
LONGLENG,LONGLENG,,2023-24,75,326,199,507,81,12,113,280,207,271,139,190,1,414,185,529,71,593,7,558,42,600,0,600,0,597,3,593,7
MOKOKCHUNG,MOKOKCHUNG,,2023-24,1,1389,394,694,242,848,492,991,301,1615,169,0,0,1522,262,1784,0,868,916,1783,1,1321,463,1294,490,1758,26,1377,407
MON,MON,,2023-24,329,1247,24,276,1324,0,122,1468,10,1067,435,97,0,897,703,1600,0,1595,5,1596,4,1600,0,1590,10,1600,0,1549,51
Noklak,Noklak,,2023-24,0,0,14,0,7,7,0,14,0,0,0,14,0,14,0,14,0,0,14,0,14,13,1,10,4,13,1,0,14
PEREN,PEREN,,2023-24,78,637,84,3,71,725,12,777,10,338,391,66,1,296,502,748,47,733,66,793,6,555,241,707,92,798,1,797,2
PHEK,PHEK,,2023-24,4,872,727,296,1267,40,380,1065,158,809,688,106,3,955,645,1588,14,804,799,1158,445,1506,94,1343,34,1481,121,1168,435
Tseminyu,Tseminyu,,2023-24,1,179,225,329,73,3,33,152,220,337,60,8,0,163,242,405,0,260,145,402,3,206,195,404,1,210,195,405,0
TUENSANG,TUENSANG,,2023-24,7,140,1639,470,768,548,538,1173,75,1216,70,500,4,962,816,1780,6,21,1765,1089,697,1614,172,1626,160,1582,203,1136,650
WOKHA,WOKHA,,2023-24,199,987,214,144,253,1003,1,147,1252,496,360,544,4,1194,202,1389,11,986,414,698,702,1118,282,1209,191,1157,243,910,490
ZUNHEBOTO,ZUNHEBOTO,,2023-24,72,1140,388,1245,335,20,371,1216,13,1214,332,52,0,1341,259,1597,3,383,1217,1304,296,1261,339,1598,2,977,623,1599,1
