State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ANUGUL,ANUGUL,,2023-24,0,2,3,1,0,4,3,2,0,4,1,0,0,0,5,5,0,4,1,5,0,3,2,5,0,0,5,5,0
BALESHWAR,BALESHWAR,,2023-24,0,0,0,2,0,0,0,1,1,0,1,1,0,2,0,2,0,0,2,1,1,2,0,0,2,0,2,1,1
BARGARH,BARGARH,,2023-24,0,0,20,6,6,8,9,6,5,5,3,12,0,8,12,15,5,12,8,15,5,10,10,17,3,12,8,16,4
BOUDH,BOUDH,,2023-24,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
DEOGARH,DEOGARH,,2023-24,0,4,412,0,43,373,146,250,20,2,60,354,0,29,387,416,0,415,1,414,2,182,234,412,4,412,4,414,2
DHENKANAL,DHENKANAL,,2023-24,0,1,68,18,16,35,35,34,0,1,0,68,0,28,41,69,0,4,65,69,0,35,34,69,0,3,66,69,0
GANJAM,GANJAM,,2023-24,0,118,1422,1019,520,1,0,170,1370,602,433,505,53,209,1278,893,647,100,1440,1478,62,1160,380,1524,16,1436,104,1513,27
JAJAPUR,JAJAPUR,,2023-24,0,0,6,3,0,3,3,3,0,0,1,5,0,2,4,6,0,0,6,6,0,2,4,6,0,2,4,6,0
KALAHANDI,KALAHANDI,,2023-24,0,154,5,0,158,1,2,157,0,1,12,146,0,0,159,159,0,111,48,40,119,102,57,63,96,32,127,4,155
KANDHAMAL,KANDHAMAL,,2023-24,0,0,1,0,2,0,0,2,0,0,1,1,0,1,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0
KENDRAPARA,KENDRAPARA,,2023-24,0,0,2,0,1,1,1,1,0,0,0,2,0,2,0,2,0,2,0,1,1,0,2,2,0,1,1,2,0
KENDUJHAR,KENDUJHAR,,2023-24,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
KHORDHA,KHORDHA,,2023-24,0,3,2,5,0,0,3,2,0,3,0,2,0,5,0,5,0,0,4,5,0,0,5,0,5,5,0,5,0
KORAPUT,KORAPUT,,2023-24,91,1284,909,308,651,2352,1522,1598,191,267,1293,1751,1,2119,1191,3310,1,3146,165,1295,45,2688,623,1340,0,1781,1530,1340,0
MALKANGIRI,MALKANGIRI,,2023-24,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1
MAYURBHANJ,MAYURBHANJ,,2023-24,0,1,2,0,0,3,0,3,0,0,1,1,0,2,1,3,0,0,2,0,0,1,0,0,0,1,0,0,0
NABARANGPUR,NABARANGPUR,,2023-24,0,0,671,35,271,365,94,472,105,11,3,657,1,180,490,665,6,559,112,666,5,227,444,572,99,330,341,670,1
NAYAGARH,NAYAGARH,,2023-24,22,261,1296,901,608,70,178,1133,268,491,364,724,0,458,1121,1578,1,1408,171,1488,91,1019,560,1532,47,395,1184,1579,0
PURI,PURI,,2023-24,0,0,104,601,646,385,23,1266,343,291,849,492,2,476,1154,1632,0,1505,127,2,2,222,1410,3,1,329,1303,3,1
SAMBALPUR,SAMBALPUR,,2023-24,246,1559,2924,1697,1020,2016,1966,1886,881,2441,1047,1245,7,2085,2640,4536,197,4109,624,4634,90,2965,1763,4679,44,1038,3694,4689,32
SONEPUR,SONEPUR,,2023-24,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0
SUNDARGARH,SUNDARGARH,,2023-24,0,0,0,1,3,0,1,3,0,0,3,1,0,1,3,4,0,0,0,4,0,4,0,4,0,0,0,4,0
