State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
AMRITSAR,AMRITSAR,,2023-24,0,0,8,1,67,139,0,30,180,46,6646,4434,275,17,10950,11202,22,103,95,158,46,153,45,200,0,0,0,104,100
BARNALA,BARNALA,,2023-24,0,0,0,207,947,2596,139,578,3033,3,559,3188,368,0,3382,3750,0,3538,212,3564,186,3491,259,3741,9,0,0,1088,2662
BATHINDA,BATHINDA,,2023-24,8,1327,7735,2757,7455,4568,10,638,14131,830,6153,7797,2113,1,12665,14454,326,12610,2168,12457,2323,14378,402,14714,65,1,0,7988,6792
FARIDKOT,FARIDKOT,,2023-24,0,0,2,560,1656,1536,775,804,2172,1291,816,1630,994,2,2756,3675,77,3497,255,2581,1171,3260,193,3686,65,295,5,420,3332
FATEHGARH SAHIB,FATEHGARH SAHIB,,2023-24,0,0,6,1229,598,79,82,750,1084,14,435,1430,14,9,1782,1853,5,1857,66,1663,262,1922,4,1905,6,5,0,1346,583
FAZILKA,FAZILKA,,2023-24,0,0,0,4186,1544,567,3598,1204,1492,2662,2476,1159,130,5,6162,4612,1685,6174,123,3792,2505,5069,1228,6191,85,0,0,1698,4599
FEROZEPUR,FEROZEPUR,,2023-24,0,0,0,2592,1395,942,687,2084,2158,1607,2248,1074,330,0,4599,4869,60,4829,100,3808,1120,3936,992,4881,48,0,0,1656,3273
GURDASPUR,GURDASPUR,,2023-24,0,0,0,367,732,294,142,559,692,370,975,1118,15,1,2447,2420,43,1164,228,475,917,457,935,1337,56,0,0,23,1369
KAPURTHALA,KAPURTHALA,,2023-24,0,0,4,1,58,0,13,44,2,1,0,101,1,0,115,108,1,59,0,59,0,59,0,59,0,1,0,22,37
LUDHIANA,LUDHIANA,,2023-24,0,0,1,2888,2007,283,62,1136,3980,465,3364,1348,20,2,5155,5177,0,5121,56,4795,382,4960,217,5170,7,0,0,4827,350
MALERKOTLA,MALERKOTLA,,2023-24,0,0,3,1376,547,127,36,553,1462,27,1736,287,246,1,1804,2046,5,1609,442,1485,565,2014,35,1984,65,5,0,1627,424
MANSA,MANSA,,2023-24,0,0,0,2196,2528,715,439,500,4500,1581,2044,1814,1972,0,3467,5439,0,2658,2781,4968,471,5419,20,5439,0,0,0,1185,4254
MOGA,MOGA,,2023-24,0,0,0,42,8,1,46,3,2,42,6,3,4,0,47,51,0,51,0,47,4,51,0,51,0,0,50,45,6
PATIALA,PATIALA,,2023-24,0,0,22,536,556,4090,77,327,4661,1775,1379,2815,489,11,5510,5913,89,1074,4065,5146,40,3855,928,5159,6,1,0,4700,486
RUPNAGAR,RUPNAGAR,,2023-24,0,0,0,53,95,30,0,12,166,0,55,124,0,1,178,179,0,61,118,165,13,161,18,179,0,0,0,150,29
S.A.S Nagar,S.A.S Nagar,,2023-24,0,0,1,326,106,7,4,81,353,0,0,0,0,0,0,0,0,370,69,340,93,428,7,424,3,0,0,57,380
SANGRUR,SANGRUR,,2023-24,0,0,15,4638,3913,648,1045,3417,4739,191,8035,972,163,2,9037,9166,35,7987,1214,7770,1432,8000,1199,9154,46,15,0,5100,4102
Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,,2023-24,3,0,5539,1018,937,3590,3,187,5355,593,2652,2300,0,0,5545,5545,0,4700,845,5230,315,4646,899,5502,43,0,0,3553,1992
SRI MUKTSAR SAHIB,SRI MUKTSAR SAHIB,,2023-24,0,0,0,428,1074,2702,379,2050,1867,29,582,3881,953,0,3543,4474,23,4316,180,3305,1190,3484,997,4304,180,1,0,593,3903
Tarn Taran,Tarn Taran,,2023-24,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
