State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
AJMER,AJMER,,2023-24,0,0,6,5098,3209,117,3284,4983,158,300,590,7527,1459,6,6957,7117,1308,802,340,5485,2940,5855,2568,8235,175,2,0,7963,462
ALWAR,ALWAR,,2023-24,0,3,35,9411,2979,76,2439,7611,2419,85,255,12114,358,14,12058,10916,1538,6019,1863,3832,8645,2816,9642,11860,600,38,5,11577,901
Anoopgarh,Anoopgarh,,2023-24,0,0,1,854,765,1,1609,2,9,4,0,1616,0,0,1620,1530,90,1515,105,1064,556,1155,465,1620,0,0,0,1620,0
Balotra,Balotra,,2023-24,0,0,0,13,0,0,3,10,0,0,0,13,12,0,1,13,0,0,0,0,13,0,13,13,0,0,0,13,0
BANSWARA,BANSWARA,,2023-24,0,0,17,5424,2668,11,2931,5162,23,2571,2006,3536,3,5,8104,8081,36,8085,3,6909,1207,5096,3019,8055,51,30,8,7930,185
BARAN,BARAN,,2023-24,0,1,5,5210,922,53,2304,3606,272,860,2773,2554,5,8,6170,5990,198,2,3,4008,2188,3252,2936,6081,106,5,1,5745,450
BARMER,BARMER,,2023-24,0,0,1,1938,49,4,381,1603,7,8,3,1979,1486,0,505,1988,3,0,0,109,1882,84,1907,1973,12,0,0,1962,29
Beawar,Beawar,,2023-24,0,0,0,470,529,7,618,385,3,62,48,896,233,0,773,936,70,843,9,691,315,626,380,996,10,0,0,1004,2
BHARATPUR,BHARATPUR,,2023-24,5,20,7011,5607,1429,0,1541,5344,151,7,20,7009,75,3,6958,6659,377,7030,4,3867,3169,337,6699,6962,74,0,0,6997,39
BHILWARA,BHILWARA,,2023-24,0,0,3,3685,1293,173,4435,698,17,1854,1415,1881,312,0,4837,3846,1303,5118,32,3878,1272,3715,1435,5116,33,2,0,5090,61
BIKANER,BIKANER,,2023-24,0,0,24,7056,1706,23,6412,2328,32,13,4,8765,3257,5,5521,8778,11,6,3,1114,7673,2489,6297,6329,2457,2,1,8243,546
BUNDI,BUNDI,,2023-24,0,0,0,5552,599,0,4702,1443,6,783,2481,2886,450,4,5697,6018,133,1,0,4876,1275,4513,1633,6079,70,1,0,5877,274
CHITTORGARH,CHITTORGARH,,2023-24,0,0,12,2978,4264,683,2041,5002,885,1297,2885,3742,1521,3,6398,7070,858,5449,2468,2485,5440,5418,2506,7094,832,7,1,6356,1571
CHURU,CHURU,,2023-24,0,0,4,392,4398,5706,1477,8899,122,28,1420,9048,227,12,10254,10340,155,0,5,547,9947,710,9788,10360,137,6,2,9622,874
DAUSA,DAUSA,,2023-24,0,0,1,8325,1239,1,2016,7547,2,4,9,9552,328,0,9237,9534,31,9459,106,5816,3749,2251,7311,9232,332,1,0,9285,280
Deeg,Deeg,,2023-24,1,2,3475,2850,626,2,772,2628,78,4,1,3473,58,0,3420,3314,164,3475,3,2614,864,230,3248,3469,9,0,1,3466,12
