State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Ariyalur,Ariyalur,,2023-24,0,0,4001,1,4000,0,0,3996,5,0,0,4001,1,0,4000,4000,0,3744,257,3888,113,1795,2206,3997,2,3945,55,3292,709
CHENGALPATTU,CHENGALPATTU,,2023-24,3,0,7296,1932,1685,3682,90,1723,5486,220,306,6773,153,614,6532,7287,11,5408,1891,337,6962,4901,2397,6869,430,845,6454,808,6491
COIMBATORE,COIMBATORE,,2023-24,0,7,4593,880,3645,75,4271,321,8,52,298,4250,413,0,4187,4252,348,3802,798,2660,1940,4302,298,4585,15,1735,2865,2767,1833
CUDDALORE,CUDDALORE,,2023-24,8,25,13766,5027,6886,1887,6357,6376,1066,68,248,13483,958,1087,11752,13513,286,5175,8625,13270,530,10352,3448,13759,19,10553,3246,13692,108
DHARMAPURI,DHARMAPURI,,2023-24,1,15,4883,2190,1989,720,2947,1670,282,34,229,4636,109,7,4783,4851,48,3011,1888,1870,3029,2808,2091,4222,677,4897,2,3469,1430
DINDIGUL,DINDIGUL,,2023-24,3,61,6102,686,2871,2609,4657,1477,33,13,58,6096,53,193,5921,6116,51,2590,3576,4573,1594,6050,117,6157,7,510,5656,5634,531
ERODE,ERODE,,2023-24,0,2,4198,62,3227,911,3295,891,14,5,345,3850,140,50,4010,4085,113,1390,2809,1421,2772,2244,1923,4012,177,4180,19,2282,1907
KALLAKURICHI,KALLAKURICHI,,2023-24,14,89,8299,4072,2849,1481,5410,2623,369,222,2444,5735,238,23,8141,8319,82,4828,3574,6766,1636,4553,3848,7970,425,3477,4924,7412,990
KANCHIPURAM,KANCHIPURAM,,2023-24,4,4,5491,1805,3362,333,390,4953,157,69,74,5350,26,130,5336,5469,25,5268,231,1713,3786,3846,1651,5136,358,977,4518,3925,1575
KANNIYAKUMARI,KANNIYAKUMARI,,2023-24,0,232,1667,1385,359,154,760,688,451,125,236,1538,4,291,1601,1759,140,1439,460,1890,9,1806,93,1899,0,1449,450,1898,1
KARUR,KARUR,,2023-24,1,8,2889,1157,906,835,1409,1345,144,13,178,2707,111,246,2538,2851,47,2546,352,1025,1873,1173,1723,2752,141,2577,313,2096,802
KRISHNAGIRI,KRISHNAGIRI,,2023-24,1,0,6299,3639,1411,1250,1902,2809,1589,238,523,5539,121,29,6150,6290,10,5276,1024,5630,670,5164,1134,6242,55,6257,43,6142,158
MADURAI,MADURAI,,2023-24,10,11,8430,3090,4589,772,6277,2022,152,959,3285,4207,219,212,8012,8277,174,6130,2319,6783,1668,6956,1487,8406,35,2677,5771,8194,257
Mayiladuthurai,Mayiladuthurai,,2023-24,3,1,4698,2133,1888,681,3215,1439,48,14,47,4641,13,9,4678,4512,190,4647,55,4523,179,3605,1097,4379,322,4670,30,3844,858
NAGAPATTINAM,NAGAPATTINAM,,2023-24,1,2,3897,463,1289,2148,308,2784,808,40,870,2990,15,35,3849,3896,4,3204,696,3893,7,2773,1127,3878,22,3898,2,3894,6
NAMAKKAL,NAMAKKAL,,2023-24,3,24,6479,3274,1622,1610,4237,1941,328,79,290,6137,1477,130,4899,6390,116,3618,2887,1277,5229,3155,3350,6323,183,2893,3613,5070,1436
PERAMBALUR,PERAMBALUR,,2023-24,2,1,2497,138,1663,699,1640,607,253,0,155,2344,396,2,2097,2496,4,2393,107,506,1994,1286,1214,2495,1,772,1728,2138,362
PUDUKKOTTAI,PUDUKKOTTAI,,2023-24,2,61,9737,979,6500,2321,1647,4849,3304,243,646,8911,51,23,9713,9690,110,8508,1292,5815,3985,6447,3352,9731,65,8820,979,9779,21
RAMANATHAPURAM,RAMANATHAPURAM,,2023-24,11,2,8587,877,5567,2156,8081,471,48,25,57,8515,336,546,7715,7956,643,8239,361,8502,98,69,8528,8590,4,2370,6229,8576,24
Ranipet,Ranipet,,2023-24,21,16,5663,2692,2682,326,451,3551,1698,781,865,4054,626,79,4995,5508,190,4420,1280,383,5317,4835,865,5647,52,1753,3947,1582,4118
SALEM,SALEM,,2023-24,12,9,7418,2977,3821,642,4800,2529,111,22,34,7379,429,15,6995,7417,23,2990,4450,7409,31,5927,1508,7419,3,6807,633,7433,7
SIVAGANGA,SIVAGANGA,,2023-24,5,51,10229,2873,4204,3208,5371,4381,534,21,148,10112,1152,476,8653,10206,79,6229,4057,8289,1997,3447,6834,10036,238,6689,3594,10197,89
TENKASI,TENKASI,,2023-24,5,7,3928,2958,806,176,3330,557,53,581,247,3112,174,128,3638,3850,75,3717,213,1467,2473,1848,2091,3757,183,1725,2215,2202,1738
THANJAVUR,THANJAVUR,,2023-24,7,11,11782,5895,2234,3670,5251,5989,560,631,1997,9169,40,41,11715,11660,138,11496,304,11677,123,2162,9637,11285,515,11503,295,11350,449
THE NILGIRIS,THE NILGIRIS,,2023-24,7,158,447,394,194,24,368,196,48,399,102,111,0,413,199,611,1,136,476,484,128,467,145,596,16,390,222,476,135
THENI,THENI,,2023-24,2,3,2618,998,1442,183,1209,1207,207,6,54,2563,27,60,2536,2543,79,11,2612,1459,1164,1008,1614,2610,13,2107,515,2075,548
THIRUVALLUR,THIRUVALLUR,,2023-24,5,4,10427,8068,2231,136,1638,7239,1559,138,479,9818,21,946,9469,10090,340,5202,5233,3210,7226,7788,2648,10027,400,7135,3296,2751,7685
THIRUVARUR,THIRUVARUR,,2023-24,2,0,8891,4034,3747,1112,3984,3337,1572,10,42,8840,153,6,8734,8792,101,1668,7225,8649,244,1812,7076,8566,327,808,8082,6751,2142
TIRUCHIRAPPALLI,TIRUCHIRAPPALLI,,2023-24,2,2,8296,3935,1293,3072,5944,2190,166,42,14,8244,312,20,7968,8231,68,7992,308,6455,1845,7502,796,8259,36,4510,3790,7953,347
TIRUNELVELI,TIRUNELVELI,,2023-24,1,379,3696,1848,1136,1092,3007,844,225,476,1464,2136,58,196,3820,3810,266,2163,1913,3168,908,3381,695,4010,64,617,3459,3559,517
Tirupathur,Tirupathur,,2023-24,0,11,3988,3153,612,235,781,1498,1721,2,141,3857,8,18,3974,3839,161,3419,581,869,3131,2085,1915,3827,173,3629,371,787,3213
TIRUPPUR,TIRUPPUR,,2023-24,8,290,4837,244,4025,866,3996,1076,63,73,658,4404,447,3,4679,5118,17,3650,1485,727,4408,4079,1056,5067,67,929,4205,2875,2260
TIRUVANNAMALAI,TIRUVANNAMALAI,,2023-24,24,376,17114,2907,12126,2481,3045,13116,1353,224,703,16585,335,163,17016,17397,113,11109,6405,13151,4363,6805,10702,17393,113,12605,4900,4982,12531
TUTICORIN,TUTICORIN,,2023-24,4,0,8696,1337,4554,2809,7406,895,399,244,1166,7289,714,134,7851,8520,180,7011,1689,1831,6869,2607,6093,8464,236,2555,6145,8251,449
VELLORE,VELLORE,,2023-24,5,5,5091,815,2285,2001,2359,1956,786,279,1282,3540,333,23,4742,4991,110,3836,1265,893,4208,2720,2378,4712,384,2158,2940,533,4568
VILLUPURAM,VILLUPURAM,,2023-24,33,5,13868,9069,4550,284,1252,10897,1756,1047,2218,10634,146,290,13462,13770,135,7996,5909,5739,8167,8493,5405,13798,101,2517,11383,9408,4498
VIRUDHUNAGAR,VIRUDHUNAGAR,,2023-24,13,10,8977,977,2192,5831,5774,2407,819,429,796,7769,2424,22,6549,8724,274,3123,5877,953,8047,1767,7223,7706,1293,5103,3896,8574,426
