State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ALMORA,ALMORA,,2023-24,0,0,2,210,635,1225,1294,751,26,1670,201,200,3,3,2065,2067,4,1263,808,2034,37,1938,133,1759,312,1833,238,1514,557
BAGESHWAR,BAGESHWAR,,2023-24,0,1,5,1274,2318,698,2024,1820,448,3208,888,194,5,5,4280,4279,13,3894,396,4218,73,4168,120,4274,16,4199,92,4260,32
CHAMOLI,CHAMOLI,,2023-24,0,0,4,1127,592,43,455,1303,4,1050,701,11,3,0,1759,1759,3,1699,63,1418,344,1677,85,1730,32,1722,40,1741,21
CHAMPAWAT,CHAMPAWAT,,2023-24,0,0,2,702,546,152,668,701,31,1283,113,4,2,163,1235,1396,3,1153,247,1392,8,1370,30,1399,1,1344,53,1396,4
DEHRADUN,DEHRADUN,,2023-24,1,0,13,5568,2284,412,1810,5144,1310,6068,2024,170,2,1,8261,8259,2,6747,1516,8246,18,8216,48,8261,3,5392,2871,7959,305
HARIDWAR,HARIDWAR,,2023-24,0,0,1,1185,3152,882,1473,3021,726,417,2527,2281,8,2,5215,4890,335,4154,1070,4234,991,4029,1185,4794,427,3272,1953,4137,1083
NAINITAL,NAINITAL,,2023-24,0,0,4,27,1471,1002,939,1488,75,2013,355,133,7,2,2491,2497,5,2210,291,2491,11,1993,509,2138,364,2352,150,2430,72
PAURI GARHWAL,PAURI GARHWAL,,2023-24,0,0,16,2044,1043,1466,1540,1412,1603,2002,1110,1442,11,16,4526,4011,544,3431,1124,3390,1144,3973,505,4144,403,3509,1046,3359,1071
PITHORAGARH,PITHORAGARH,,2023-24,0,0,3,160,2390,892,1067,1839,536,3304,110,26,6,289,3147,3425,2,2951,491,3367,75,3310,132,3433,8,2464,975,2854,588
RUDRA PRAYAG,RUDRA PRAYAG,,2023-24,0,0,3,285,1813,0,1253,834,11,1892,160,46,3,35,2060,2094,3,1632,466,1396,702,2081,17,2063,35,1681,417,2089,9
TEHRI GARHWAL,TEHRI GARHWAL,,2023-24,0,0,2,1142,425,154,1317,394,10,1103,550,68,3,0,1718,1719,0,1310,411,1196,525,1116,605,1636,85,1138,583,1289,432
UDAM SINGH NAGAR,UDAM SINGH NAGAR,,2023-24,0,0,5,2562,5477,1854,237,3272,6384,837,2552,6504,8,1,9884,25,9868,8679,1214,9647,246,8729,1164,9823,70,6948,2945,9625,268
UTTAR KASHI,UTTAR KASHI,,2023-24,0,0,9,1862,3118,797,1856,2885,1037,3075,2489,212,7,84,5685,5736,42,2805,2973,5409,333,5077,571,5540,200,5312,466,4567,1165
