State,District,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
24 PARAGANAS NORTH,24 PARAGANAS NORTH,,2023-24,884,15678,3546,16981,2433,695,6997,10721,2390,7973,8938,3196,8,1809,18285,17812,2289,10470,9638,19558,549,10919,9187,20088,14,8295,11808,16518,3591
24 PARAGANAS SOUTH,24 PARAGANAS SOUTH,,2023-24,1103,15839,5911,13859,5335,3659,13690,8639,522,7483,10281,5088,17,4187,18649,17117,5734,13792,9061,22115,731,11936,10911,22056,808,10015,12838,20984,1862
Alipurduar,Alipurduar,,2023-24,0,3303,3606,3838,2176,895,850,2491,3568,3361,2149,1399,0,2224,4685,5445,141,3791,3118,6889,20,5404,1505,6909,0,1906,4925,6823,86
BANKURA,BANKURA,,2023-24,186,17140,2599,11712,6644,1570,5307,10112,4508,11962,5616,2344,21,4508,15371,19854,58,12213,7713,19895,32,19231,695,19100,823,19856,71,19909,18
BIRBHUM,BIRBHUM,,2023-24,0,8131,9062,8269,8886,42,1994,14101,1102,0,9406,7787,1,6713,10474,17189,1,6012,11185,17202,1,17200,3,17199,0,157,17043,16966,238
COOCHBEHAR,COOCHBEHAR,,2023-24,3,5032,7464,7167,3748,1584,1634,4317,6548,5148,3544,3807,0,6987,5512,9428,513,7255,5244,12474,25,10265,2234,12499,0,4988,7508,12221,278
DARJEELING,DARJEELING,,2023-24,286,7416,899,3285,2092,3225,386,6672,1544,7666,892,38,5,5216,3343,8570,13,386,8218,8578,26,3294,5307,4980,3603,4358,4244,1635,6959
DINAJPUR DAKSHIN,DINAJPUR DAKSHIN,,2023-24,70,4044,2318,6401,28,3,1921,4013,498,1130,3069,2232,0,3087,3344,6430,1,6120,312,6427,5,6255,177,6425,0,2880,3552,6411,21
DINAJPUR UTTAR,DINAJPUR UTTAR,,2023-24,218,4443,4905,9212,331,25,1772,6462,1335,957,3794,4815,10,4242,5305,9543,23,9184,385,9537,32,9458,111,9561,0,4124,5445,9547,22
HOOGHLY,HOOGHLY,,2023-24,342,16973,4766,21296,761,23,15227,6173,682,6155,11224,4700,16,1247,20805,21405,673,18563,3519,21992,90,17238,4844,22065,2,7273,14808,21203,878
HOWRAH,HOWRAH,,2023-24,0,14079,602,14664,17,0,11406,3263,10,7921,6251,509,2,2102,12568,13157,1523,10662,4019,14664,17,11179,3502,14676,3,5429,9251,14610,71
JALPAIGURI,JALPAIGURI,,2023-24,186,7077,1050,9,2413,5891,1132,5598,1582,7401,861,51,3,6196,2114,8309,3,427,7886,8307,6,7463,850,8289,24,7902,410,5173,3140
Jhargram,Jhargram,,2023-24,1535,4251,1696,5777,1702,3,443,6489,550,3245,2664,1573,0,6800,682,7480,2,7108,374,7482,0,2947,4535,6650,831,2304,5178,7474,8
KALIMPONG,KALIMPONG,,2023-24,18,2834,129,2568,384,29,4,2337,640,2850,128,3,4,1612,1365,2980,1,5,2976,2976,5,216,2765,383,2591,44,2934,3,2975
MALDAH,MALDAH,,2023-24,4,816,13434,10151,3250,839,43,15,14191,1728,4180,8330,323,1892,12014,13763,479,3999,10252,13043,1212,12066,2189,14226,25,339,13913,10935,3317
MEDINIPUR EAST,MEDINIPUR EAST,,2023-24,969,19554,2212,13239,8959,541,5294,15555,1891,12594,8112,2022,11,3884,18815,22521,198,18836,3910,22744,3,19923,2824,22664,82,16677,6069,22736,12
MEDINIPUR WEST,MEDINIPUR WEST,,2023-24,5046,13735,2869,9212,6600,5856,7055,11255,3375,6614,10351,4664,48,11859,9635,20561,1033,5088,16602,21618,81,17573,4113,21653,24,6067,15621,21651,47
MURSHIDABAD,MURSHIDABAD,,2023-24,3866,14242,7977,23415,2643,27,989,23461,1635,2248,11194,12642,108,356,25621,26063,18,20415,5670,25214,871,16335,9749,26076,6,5018,21060,25753,332
NADIA,NADIA,,2023-24,127,7802,10555,13184,5190,110,5548,11231,1705,1389,5899,11193,20,86,18374,18430,53,15225,3259,18249,235,10370,8112,18447,11,9603,8861,16556,1928
PASCHIM BARDHAMAN,PASCHIM BARDHAMAN,,2023-24,4,3838,2316,4721,1373,64,2301,3515,342,538,4335,1285,4,814,5340,6155,3,5335,823,6086,72,5847,310,6048,58,216,5940,6040,118
PURBA BARDHAMAN,PURBA BARDHAMAN,,2023-24,108,11174,10056,19841,1461,36,8230,11158,1950,6050,14277,1010,13,4733,16589,21325,12,19907,1430,21322,15,17660,3676,21199,59,1884,19450,21176,160
PURULIA,PURULIA,,2023-24,341,9596,5697,10662,4873,99,4810,10796,28,2718,7231,5679,1,206,15424,15624,8,10922,4712,15549,85,14952,677,15420,174,10257,5366,2119,13510
